card1,card2,card3,card4,card5,card6,result
TS,KC,6C,KS,QH,QS,win
AS,9D,7C,TH,8H,TC,loss
6C,6D,6S,KH,7D,KS,loss
AC,TH,7D,TS,9H,6H,loss
JD,6H,JS,TH,6C,AD,win
QS,TH,AS,TS,8S,TD,win
KS,7D,JC,AC,8H,8D,loss
9H,7C,9C,8H,7H,JC,win
9C,TD,6S,9S,AC,6D,win
7S,JC,8C,KC,9H,QD,loss
TC,TS,JH,JS,8H,8S,loss
JC,9S,7H,9C,AH,AC,loss
9C,9S,TC,AS,7S,AH,win
JS,7S,KS,8D,QD,TD,loss
8D,TD,7D,7H,8H,TH,loss
8S,6S,TC,AH,AD,7H,loss
7D,KD,7H,JH,7C,6S,win
JS,QH,7S,KC,KS,QC,win
8S,6C,9D,6H,7S,AD,loss
7C,TS,QC,AS,7H,AC,win
6S,TC,7S,8S,QC,JS,loss
8D,TH,KH,6D,7S,8H,win
7S,6C,8S,7C,KH,AC,loss
JC,9S,8D,6C,8C,QC,win
8C,9S,8D,TS,AD,JS,loss
QH,6S,8H,9H,8C,TS,win
TS,AS,9D,KC,JS,JD,win
TS,TC,KH,6S,9C,JS,win
6S,9C,KD,QD,8H,KH,loss
JS,QD,6H,8C,QS,6C,win
KD,JD,JC,9C,AC,7C,loss
KH,KD,AC,JD,TD,7C,win
7H,6D,KH,9H,QC,KS,loss
8C,JC,QS,7H,KH,6D,loss
TD,6C,7D,JH,9C,6H,loss
7C,JH,JD,6S,TD,KD,win
7S,JS,JH,9S,TD,QH,win
6S,QH,QS,TH,QC,7C,win
KC,JD,JS,6D,AH,7D,win
QH,KD,9H,6H,9D,QC,loss
JD,9S,7C,TC,TS,7H,win
TS,7H,KS,JS,JC,AS,loss
TS,KC,QS,KH,6S,AC,win
AC,KC,TS,JH,TD,TC,loss
TC,JD,AC,6C,KD,8C,win
AS,QH,8S,9S,7D,AD,loss
QH,6C,QS,AS,KC,7D,loss
KS,7C,KC,8D,KD,AC,win
JD,6S,AH,6C,6H,8H,loss
JC,AH,TS,AC,TC,QD,loss
6C,9D,AH,9C,6S,QC,win
8S,QC,6C,7H,TH,QD,win
9H,6S,7S,KS,KD,6H,win
JS,QS,QD,9C,QH,7D,loss
TC,JD,9C,KS,9D,6D,win
KC,AS,AH,9S,7C,7S,win
JH,7C,9C,KC,6H,JS,loss
7S,AS,TC,8D,JC,AH,loss
7S,KS,6C,AS,6D,8H,loss
7C,8S,AC,QC,6H,AD,loss
KH,7D,QC,JC,7S,7C,win
TS,6S,QS,KS,JS,7C,win
JC,TC,8C,6D,JD,KH,loss
TD,6C,9D,JH,JC,8H,win
KH,JS,7H,TH,AH,6D,loss
8D,TH,6H,8C,AD,KD,loss
AC,TC,6H,KS,QH,7H,loss
QD,9S,8D,JD,AC,9D,win
KS,7S,6H,9D,6S,QS,loss
QH,AH,9D,QD,KC,8C,loss
9C,KS,JS,7H,KD,8S,win
QC,AC,JD,TD,7D,9H,loss
AS,TH,9C,9S,KS,QH,loss
KH,TC,8C,8S,9H,QH,win
JC,6S,6H,KS,6D,JS,win
7H,TD,QD,9C,TC,TH,win
TH,8S,9C,7D,QD,TS,loss
6C,7D,6S,7H,7C,KD,win
6S,7H,8H,AC,KS,8D,loss
6D,8C,9H,AD,QC,AH,loss
QC,7D,7S,AH,8D,TC,win
QS,TD,AD,TH,KC,8H,loss
8C,6S,TC,TH,JS,7D,loss
8H,9D,AH,8D,9H,JS,loss
8H,7D,AD,6D,7H,KD,win
JC,TH,9C,KH,7C,6S,win
JD,KC,KS,AH,8C,KH,win
9D,KD,TS,JD,QC,9H,win
QH,7D,KS,JC,8H,AC,win
7D,KD,JD,KC,6C,QC,win
8D,6C,AS,9D,QC,6D,loss
7D,9D,TD,JC,8D,AS,win
AD,JC,TC,QH,AC,6D,loss
TC,AS,KH,QC,AH,8D,win
JH,7S,7D,TC,6C,AH,win
KS,7S,AC,AD,KH,6H,win
KS,KH,7C,TS,6H,7S,loss
6S,AC,9C,8C,7C,KH,loss
JH,9D,KD,6S,AS,9C,win
JD,JH,6C,JC,9H,QH,win
6H,6D,QD,JS,7S,8D,loss
KD,KC,TC,JC,8D,AC,loss
AD,TS,AC,6D,7H,AH,win
AS,AD,TS,9H,8H,8S,loss
9H,6D,6H,KH,7D,KS,win
QD,9H,AH,7S,AC,QH,loss
8D,7H,QH,JS,AD,AS,loss
JC,TC,8C,7D,8S,AD,win
9D,AC,AD,6S,KS,7H,loss
JC,9H,TD,7H,8D,QH,loss
AD,8S,7H,QD,AC,AS,win
8D,9D,7C,TS,AH,TH,win
QC,TS,KC,QS,AD,8S,win
8H,7C,9D,JC,8D,QH,loss
JC,JS,8H,6D,7D,JD,win
TS,AC,7D,KD,7S,JS,loss
7D,TH,QC,8S,QD,AS,loss
QS,9S,6D,9C,8D,QD,win
TD,9S,TS,6H,7S,KS,win
JH,9H,6C,9C,8D,6H,loss
JS,AH,AD,JH,6D,AS,win
6C,9C,9S,7H,QC,AC,loss
AC,TS,9D,8S,6D,KS,loss
KS,7C,6S,9D,6C,JS,loss
9H,7S,8C,9C,6H,KS,loss
6D,9H,AH,7C,AS,9S,loss
JS,QC,8C,9H,TH,KH,win
8C,QS,TC,TD,9D,QD,win
AS,7H,TC,JC,9H,QH,loss
9C,AD,6H,7D,6C,JC,loss
AD,6H,7H,9C,8D,KD,loss
QH,7H,QS,7D,8C,JS,loss
AS,TD,7H,8D,JS,KH,loss
AH,TC,KH,KC,JC,8S,loss
JS,AH,8H,6H,QS,AD,loss
6C,8S,8H,AC,9C,7D,win
6H,JS,KH,AH,TD,JD,loss
6C,7H,8C,7D,JD,QD,win
6D,TS,KD,JH,9H,QD,win
TD,9H,6S,8H,AS,AH,loss
QH,9S,6C,7D,QS,QD,win
7S,7D,TD,7H,8C,TC,win
QS,QH,AC,9D,8S,JH,win
JS,9D,TH,JC,9S,7D,win
TS,QD,6H,8H,TC,7D,win
AS,JD,AC,JC,8D,9S,loss
8S,6S,JC,QD,7H,KH,loss
TD,TS,8D,6H,TC,8H,win
KC,7S,6H,8C,TH,AC,win
6D,AS,QC,JH,9S,JS,loss
TC,JH,8C,AS,9S,7S,win
KH,AS,QC,QH,6H,TC,loss
7C,QS,9D,6D,QC,7H,win
QH,TS,QD,8S,6C,9D,win
JD,8D,QH,8S,7S,JC,win
QC,6C,8C,7S,JC,6S,win
TS,6H,KD,8S,QD,7C,loss
KS,AC,TH,JH,QH,9S,win
JD,AH,8D,7D,7C,9C,loss
TC,QH,6H,QD,8C,TS,win
KH,6D,9C,8D,QD,KS,loss
9H,JD,JC,TD,AD,7C,win
6H,9D,7D,8S,JD,QS,loss
JS,8H,6S,TD,TS,8D,loss
7C,6S,6C,7S,TS,8H,loss
6S,AD,QS,6H,9D,9S,loss
8H,QD,9D,6D,KC,JC,win
7H,AC,TH,8S,AD,QC,loss
AD,QD,8S,TH,TD,QS,win
7D,9S,6H,TC,KD,6S,loss
AD,KC,9H,9C,AC,JC,loss
8S,6C,8D,KD,TD,9S,loss
KH,AC,6S,QC,7D,6H,loss
9H,6C,KH,JH,9S,TS,loss
KH,JC,KD,9D,QS,TH,win
KD,AS,TS,KS,KC,TH,win
9H,TC,JH,QH,9S,6C,win
7H,KC,8H,JS,TD,9C,win
8C,AS,AC,TH,7D,9S,win
TH,QC,QH,7C,KD,KC,win
9S,8S,KC,6C,AH,AC,loss
AH,KS,6H,9C,7H,JS,loss
JC,8D,KH,TH,7D,KC,loss
TD,AS,7D,8S,9D,QH,win
7C,9S,6H,JC,QD,7S,win
TS,8H,QD,QS,7C,9D,win
8D,7D,KS,QD,7H,8S,loss
JD,9S,9H,8D,AD,6D,win
9H,8D,9D,JD,7D,JH,win
9S,9D,8H,TH,KH,TS,win
JH,JD,9S,AC,8S,KD,loss
7D,AC,AH,AD,TH,TD,loss
9S,QS,6H,8C,9C,QD,win
AH,8D,9C,KS,KD,6D,loss
AC,TH,TS,7S,8D,TC,win
JS,AC,AS,KD,QC,QH,loss
7H,6D,JD,6H,AS,8C,win
8C,7D,AD,TC,TH,6H,loss
9S,KC,7C,KD,AC,8S,win
9S,7S,AC,JC,TC,JH,loss
8D,8C,JC,TS,QD,TH,loss
AH,KH,6H,7D,7C,TH,win
7D,KD,KS,6D,9C,9D,win
6H,9S,JC,KS,7D,8H,loss
8H,TH,KC,TS,QC,AC,win
AC,AS,TH,7D,8S,JD,loss
7H,8H,7D,QD,9H,6C,loss
JH,6H,6C,9C,6D,8D,win
AD,9C,7H,KC,JC,TH,win
AD,7D,AC,9D,TD,QH,win
QD,TC,7H,AD,AS,KC,win
KS,JD,AS,QC,9D,6C,win
7H,AH,KD,KS,9C,QS,loss
JD,QS,9D,QC,8D,7H,win
JH,TD,9H,7D,7H,9D,win
8D,JH,6S,QH,6H,KS,loss
7S,8H,6D,QC,TH,7D,win
7S,9C,7D,8D,JS,QH,loss
QS,QH,TD,TC,9D,AC,win
8H,JS,JH,KD,AS,QD,win
KS,JD,6C,KC,TC,7S,loss
JD,7S,TH,8D,QH,TC,loss
JH,JS,8S,KD,AC,JC,win
6D,8C,TS,7S,QD,QC,loss
9S,7H,QH,8H,KC,AH,loss
6S,TH,7H,AH,QC,9H,loss
JH,JS,KH,9D,QD,7C,loss
KC,7C,JD,AD,7D,8C,loss
9H,TC,7D,AC,8D,7H,loss
JC,JH,9C,7C,8H,8D,loss
AC,6D,JH,AD,TH,8H,loss
9S,KH,8S,AC,TH,6C,loss
9S,TD,TC,6S,QS,8D,loss
7D,QS,8C,AS,JH,9D,loss
AH,JH,KH,JC,QD,8D,loss
9D,9S,JC,AH,KC,QH,loss
KH,QC,KD,JH,6H,9D,win
KD,AC,6H,9D,KC,TD,win
KC,JD,KD,6H,KH,8D,win
6D,6S,JH,TH,QC,8D,loss
AC,8S,KH,TS,6D,AS,win
KS,9S,KH,7H,KC,QC,win
9D,QD,8S,AC,JS,TS,loss
7C,8C,6C,JC,9H,8H,win
AD,KD,6D,TD,6C,7C,loss
7S,8S,7D,TD,QS,JC,win
JH,6H,AS,7C,7D,9H,loss
7H,7S,JH,9H,QH,6C,win
TC,9C,9S,AC,8H,QD,loss
6C,8H,7D,9C,6D,QC,loss
AC,QH,AD,AH,QS,AS,win
8D,JD,TD,QC,7C,JC,loss
KS,7C,6S,AC,QS,TD,loss
JS,7C,JD,7H,TC,KC,win
AD,QC,QH,TC,AC,7D,win
JH,QC,7D,9D,JC,6C,loss
QH,9D,QC,AD,AC,8H,win
JC,6C,6S,AD,AS,8D,loss
7D,KC,KS,JH,9S,8H,win
QH,8H,QS,TH,7S,TC,win
KS,KC,JC,JS,8C,QS,win
6H,8D,JC,QD,KH,8H,win
JH,7S,JC,8S,6C,TC,win
QS,7H,TD,TC,TH,KD,win
KS,8H,KD,QH,KC,TD,win
KS,7C,JH,JD,KD,8H,win
9S,7S,9H,TS,TH,QS,loss
TH,QH,9C,KS,JD,AS,win
9S,QD,KH,QS,7C,9H,win
AS,KD,KS,9H,6S,TD,loss
7S,9D,JS,6S,8D,JD,win
JH,JS,QH,TS,JD,KD,win
QH,QC,6S,JH,JS,7D,win
9D,QH,7D,AH,8S,6C,loss
TH,7S,AS,9D,QC,AH,loss
9S,JC,7H,KC,KH,QC,loss
AH,8D,KH,7C,TH,9H,loss
6S,KS,8S,JC,7H,QH,loss
KC,AD,JS,JC,9H,6D,loss
AS,AD,7S,JS,9D,QH,loss
TH,JS,6H,JD,8C,JH,win
8D,JS,QS,6S,JC,9H,win
AH,6C,JC,KC,AS,9H,win
6C,6H,TD,7C,8C,7H,loss
6D,QD,9H,AS,8S,TC,loss
JC,7H,AD,8D,TH,KD,loss
QD,9S,JS,8D,7H,KC,loss
JD,TC,JS,KC,7H,6H,win
7S,AC,QS,JC,QC,7C,loss
AD,TH,6D,JH,KH,7D,loss
QS,7S,JH,JC,KC,QD,loss
JH,AC,QS,JS,JC,TS,win
KS,6S,JC,QC,AS,6C,win
6S,9H,8H,JD,KC,7D,loss
KD,AH,AS,TS,AD,TD,win
AC,QD,AS,QC,JS,AH,loss
9S,TH,KH,7S,9D,8H,loss
QH,TC,QD,AH,QC,AC,win
KS,8H,KC,QC,8C,AS,win
6C,6H,KC,KS,9H,8D,win
AS,KH,JD,AH,9S,8S,win
AC,8S,TC,7C,QD,7D,win
KD,6C,8C,8S,TD,KH,loss
8H,KC,KD,AH,6H,9H,win
TD,8C,JD,7D,KH,8H,win
TH,8C,AD,8H,QC,KS,loss
6S,JS,6H,TD,JC,AD,win
7D,JS,KH,7S,9S,QS,win
9H,8D,TD,7D,6D,AC,win
6D,9C,KS,9S,8S,6C,win
TD,JC,8H,6H,AS,QC,loss
8C,KC,AC,8D,TH,7C,loss
QS,AD,6H,7S,9C,9S,win
TS,9H,TD,QD,8D,AS,loss
KD,7C,KC,KH,AS,QD,win
9C,9S,QC,9H,KD,AD,loss
6D,9C,AC,JC,7D,8S,loss
8C,7H,QS,6S,9C,JS,loss
9S,TD,KC,7H,KH,JH,loss
QS,QC,TS,8S,AC,KH,win
8S,6S,7C,9D,QH,JS,loss
7S,QH,8H,9C,TC,JC,win
6D,QS,7D,JS,7H,KD,loss
7D,7S,9D,TH,8H,AD,loss
AD,9C,KS,QD,TH,7C,loss
9H,AS,6S,KD,7C,QH,loss
8D,6D,7D,AC,6C,KH,win
TD,7D,TC,QD,AS,9S,win
9S,6C,9H,AH,JH,7H,loss
KS,9C,QC,7S,QD,JD,win
TD,6D,JS,9S,8D,JC,loss
KS,6H,7S,JH,KC,9D,loss
AH,JD,AS,7H,QD,9D,loss
9H,8C,7D,TS,TD,8H,win
QS,TD,QD,7C,JD,7H,win
TS,7H,JS,AC,9C,6D,loss
TD,QD,8S,JD,AH,8D,loss
QC,8S,TD,7S,8D,AC,loss
JH,8S,8D,TD,AH,KS,win
7H,9D,TS,TH,KD,9S,loss
TC,7H,QC,KC,8H,AS,loss
6H,7C,6S,TS,QS,JC,loss
6H,AS,KC,TC,8C,7D,loss
JH,6H,8C,8H,KH,9H,win
TS,QD,JC,8H,JD,6H,win
QC,KC,QH,9D,7D,9S,win
JC,KD,TC,QS,AS,9S,win
KS,JC,8H,AH,9D,QS,loss
KC,8D,6D,JC,TD,TH,loss
8C,KS,QD,6D,8H,JS,win
AH,7C,6C,QC,6S,KC,loss
AC,JH,8H,TS,QD,JD,win
TD,KD,JD,JC,8H,9S,loss
8D,9D,AH,9C,QH,6D,win
JH,8H,JC,AD,6D,7D,win
6D,AC,JC,9H,AS,JD,loss
JH,6H,AC,8S,KD,7D,loss
AC,8C,QH,7C,7S,JC,loss
8S,9D,7S,6S,AS,TH,win
9H,JC,9C,TD,KD,7D,loss
AS,6S,TH,KH,7D,QC,loss
9C,AC,6D,KD,JH,KH,loss
QH,JH,9D,AH,AS,8S,loss
KH,7H,QD,TC,KC,QC,loss
AC,6H,QC,7H,JC,6C,loss
AC,AS,QD,9D,6S,TH,loss
7D,AD,7C,JH,JD,8H,loss
TC,QH,AC,8S,AS,QC,win
JH,9S,QS,QC,8S,9D,win
TS,QC,6S,JC,7S,6C,loss
8H,6H,9S,7D,9C,AH,loss
TC,QD,TH,AD,6D,AC,loss
8S,9D,6C,JS,9S,KC,loss
TD,8C,KD,TS,6D,6S,loss
6D,6S,7C,KC,8S,QD,win
6H,AD,TS,9C,QH,AS,loss
TS,9H,KS,KD,QH,6D,loss
KS,QS,JD,AS,JH,KH,win
TH,6S,9C,TS,QS,7H,loss
TS,QC,AH,7S,9S,AC,loss
TH,QC,KH,8H,AS,8S,win
TH,QD,KH,KC,8C,JD,win
8H,6C,QH,7S,TH,QS,loss
AH,JH,JS,KH,6C,7H,win
JS,QS,QD,6C,8C,TD,win
TC,AS,9H,KS,8D,7H,loss
AD,9S,9C,QS,8C,6S,loss
6D,KS,7H,QS,JC,TC,loss
6H,6D,QD,8C,JS,6C,win
8S,6S,8D,TH,7C,TC,win
AC,TS,9D,9S,JH,8H,loss
7H,QH,AS,7S,QS,7D,win
6C,TC,6D,6H,TH,QH,win
TC,KH,9S,AH,JD,QD,win
JC,9S,8D,7D,TC,6C,win
8C,QH,6C,7S,QD,9D,win
KS,9D,QC,JH,JD,AD,loss
QH,7D,8H,9D,TD,9C,win
9C,QD,QS,JH,JD,TH,win
KH,8H,JS,6H,JC,AS,loss
KD,KS,9H,TC,8C,KH,win
KH,6H,JD,KC,TC,6D,win
6H,9D,KH,6D,QS,TS,loss
KS,9S,9D,QS,JD,7S,loss
7C,KH,JS,TS,TC,8C,win
7S,8D,KS,7C,TS,9D,loss
KC,QC,TS,TD,KS,KH,loss
8D,8H,9H,JC,QC,QH,loss
AD,7H,JH,6C,6H,QC,loss
7C,7S,TD,QC,7H,6D,win
6S,7D,7C,8H,6C,KC,loss
TS,AC,KC,9D,TC,QH,win
QS,8H,TH,QC,7H,TD,win
9C,KD,6S,AC,7H,9S,loss
8D,KD,KS,QD,6C,7C,loss
KH,AC,9H,JC,AD,TS,loss
7S,7H,6H,TD,TC,6C,win
QD,KH,KC,TH,7D,7C,loss
AC,8C,TD,KC,6D,9D,loss
TH,JD,8C,AD,8H,9C,loss
6C,TC,9D,9C,QD,AC,win
JH,QS,QD,7D,6H,9S,win
9S,9H,AD,TD,6C,AH,win
JS,9C,8H,JC,AD,TC,loss
7H,7D,6D,TH,JC,QD,loss
AD,QD,7C,AS,TC,QH,win
8D,6D,6C,9H,9D,8C,win
QH,QS,TS,6D,7S,9H,loss
TD,AS,KD,TH,TS,9C,win
QD,7H,KH,QS,TC,6D,loss
9H,7C,7S,QH,AD,8S,win
JS,6H,6C,6S,8D,KH,loss
TS,QC,AC,7C,7D,6D,loss
QS,7H,6H,TS,QD,7C,win
KC,JH,QS,8H,QD,AH,loss
JS,JD,6H,7C,8D,JH,win
QD,7S,7C,JC,QC,7D,win
9C,KS,6C,AS,KD,6S,win
KC,7S,7H,8H,TC,KD,win
9H,8S,6D,9D,6S,7H,loss
9S,QS,TC,TD,9D,QC,win
KD,7D,8D,7H,QD,JC,loss
KS,8D,8S,7C,TD,6H,loss
8H,7C,6S,7D,QS,7H,win
6H,6D,9H,8D,JD,9D,loss
6C,7S,QS,6D,8H,6H,win
6S,AS,7C,6H,JD,KS,loss
8D,9S,KC,6D,AS,QD,loss
TS,9S,QS,9D,KD,AH,loss
8S,KS,KH,6H,AS,9H,win
KS,JD,KH,QC,AC,JH,win
QH,TH,8D,KC,QC,9H,win
KS,JS,9S,TC,AS,8S,win
7D,TC,6C,QS,6S,9S,loss
AC,TC,QC,8H,AH,7C,win
6D,QC,JS,JD,9H,8C,loss
KS,7H,JC,6S,KD,8C,loss
TH,JH,QH,7D,KS,TD,loss
AC,9C,AD,8C,8D,7D,loss
6H,QS,7S,JC,TD,8S,loss
7S,6D,KH,TD,9C,8S,win
QH,8C,9D,TC,6D,7S,win
TS,6H,JH,9H,KS,7S,win
QC,TS,AS,8D,9S,JC,win
6H,7S,TD,AC,QH,6S,loss
JS,QH,7D,8S,7H,7S,loss
QS,QH,TC,7H,TD,7D,win
7C,AH,KS,TS,AS,AD,win
JS,9H,8D,8H,TH,7C,win
TS,JH,KC,9S,JS,QH,win
9S,TS,QC,TD,JC,8D,win
8S,6S,6C,AC,AH,QS,win
8S,JD,AC,8C,7S,QD,loss
JC,6C,QH,8S,7C,JS,loss
JS,AC,QH,KS,7S,8D,loss
9D,QC,9H,8H,7H,6H,win
AH,9H,QD,8S,KC,AC,loss
AC,JC,QC,9H,9C,AD,win
JD,8H,QC,9D,KD,8D,win
7H,AH,KH,QD,9D,TS,win
JD,7S,AH,8C,QS,JH,win
QS,7D,6C,QD,8D,7S,win
KD,7D,AC,QD,KH,JD,loss
9C,QS,TC,TH,AD,JD,win
AS,TH,9C,KH,JS,AC,win
9S,AD,AS,TS,QC,9D,win
6S,8S,QS,6D,9D,KS,loss
6D,QH,TH,6H,9S,KC,win
AD,KC,TS,9D,QS,6C,loss
7S,7C,8D,JS,KS,KH,loss
6D,JD,AD,9C,JH,6H,win
7C,6H,JH,KH,TH,JS,loss
KH,JS,6H,8D,AD,KC,loss
8S,QS,AC,JC,6D,TD,loss
AC,AS,9H,6C,7H,6S,win
TS,AH,7H,6D,AS,JS,loss
7H,JD,QD,7S,KC,QC,win
AS,TH,AH,TD,JH,KD,loss
TH,AC,8D,9H,KD,QD,loss
QD,8D,9C,TC,KH,JH,win
KD,KC,TH,QS,8D,TS,loss
6D,AS,8S,7H,JS,9S,loss
AD,6D,7S,KD,7C,KS,loss
AH,TS,KS,JD,6S,KC,win
8S,KD,AH,TC,7C,KH,loss
TD,JS,QS,7C,9S,9H,win
QS,TD,AD,KS,8D,JD,win
JS,9S,QH,6D,AS,TD,loss
8S,7C,8C,AD,9D,QD,loss
QD,QS,7D,QH,7H,9C,win
9C,JD,6H,KH,7C,QS,loss
8S,JH,KH,8D,AC,TD,loss
JC,TH,JS,8H,KC,9H,win
7H,7S,7C,TC,7D,KD,win
JD,QD,9S,9C,8H,6H,win
KS,AC,8S,KD,QH,7H,loss
KD,7C,8H,JS,AS,9C,loss
8S,KD,7D,TC,8D,QD,win
7S,TH,JC,6H,7H,TS,win
QC,TD,6H,TS,JS,KH,win
8D,JS,JC,QS,9C,AD,win
7H,AS,JH,AD,6C,QD,win
7C,8H,6C,8C,7D,KD,win
KC,8S,7H,JD,9H,TH,win
7H,7C,9D,QC,AD,TC,loss
9D,AD,QC,6S,TH,9S,loss
6D,7H,KH,9D,AC,7S,loss
JC,7C,QD,TH,AD,8D,loss
6H,9H,KS,7H,KH,6S,loss
KH,8D,TD,QD,7D,AH,loss
TD,JH,TC,QS,QH,7S,loss
KD,6H,6D,8H,7S,8D,loss
9C,JH,KH,8C,AS,QH,win
6H,TS,9D,JH,AH,9H,loss
KS,QS,7S,TD,QD,AD,win
9H,TH,QC,JC,9C,AH,win
8C,6S,7C,KC,AS,AC,loss
JD,9S,TH,AS,TC,6S,loss
7D,TH,JS,9S,6D,JH,win
TC,TS,JS,KH,7D,TD,win
KS,QC,8S,7D,7H,9H,loss
7S,TH,6C,QD,QS,9D,win
8S,7D,JC,TH,8C,AD,loss
9H,TS,AH,7D,6D,6H,loss
6S,7H,AS,KS,AD,JD,loss
AC,8C,7S,JH,QC,6S,loss
9S,8C,KD,6D,JD,AH,loss
AH,6C,KC,JS,9S,QC,loss
KD,JH,7C,AS,TS,6H,win
7C,9C,TD,KS,7S,6D,win
QH,KC,KD,6C,JD,7S,win
JD,8C,6H,9C,QD,QS,loss
7C,8D,7S,6S,JD,TS,loss
QC,TD,6D,9H,8S,TS,win
6C,TD,KD,AD,QS,JS,win
AH,TH,TS,JD,KH,6S,loss
8D,JC,9C,AC,6S,6D,loss
6H,TH,JD,6S,TC,AD,win
9H,7S,JC,KS,QH,7H,loss
8S,TD,JH,TH,QC,KH,loss
7S,7D,QC,QH,7C,6H,win
8D,AC,QC,8C,9H,6D,win
AS,TC,QH,6H,9S,7C,loss
AH,TS,9S,JC,QD,7C,loss
JC,QC,8S,KS,6D,TD,win
JH,JS,QD,JD,9H,9D,win
KD,6C,6H,KS,QD,8D,win
KS,8S,KC,6C,TS,TH,win
7S,TC,8H,KC,JD,TD,loss
AS,JC,AH,9C,KD,JS,loss
KC,6S,9S,JC,TH,QS,win
KC,JC,9D,AD,KH,9C,loss
QH,QS,9C,AH,KD,TS,win
7C,QH,9H,JS,QD,QC,win
AH,6D,TC,QD,6C,QC,loss
9D,9C,TD,AS,8H,AH,win
7H,JS,QC,QD,8S,6S,loss
AS,JC,TC,KH,TH,JH,loss
JD,KS,7S,6D,9D,QS,win
8S,KS,KH,AD,6S,QH,win
QS,KC,AD,TS,8S,9D,loss
QH,9S,9H,8H,7H,7S,win
JD,8S,6D,AH,9C,KS,loss
QC,KD,JC,AH,QD,8C,win
QS,QC,9H,6C,AC,AD,win
QH,AD,7S,7H,9C,6C,loss
KH,9S,8H,9H,QD,8D,win
KH,JH,6D,KS,JD,TD,win
JS,6D,AS,7D,QS,6S,win
6C,QC,6S,TC,TH,9D,win
9C,8D,6H,7C,JC,AC,win
8D,9D,JC,6D,QD,6H,win
7S,AD,6H,JD,TS,8H,loss
6C,QD,TH,8H,9S,6H,loss
JC,QD,JD,8H,AH,JS,win
7C,KD,QC,TS,8D,KH,loss
KD,JS,6H,JD,6C,9H,win
6H,7D,TD,TC,AS,9C,win
9H,TH,KS,TC,8C,JH,win
KH,9C,TD,AC,6D,KC,loss
8H,6H,8D,AS,JC,AH,win
7H,6H,JS,QH,8H,KS,loss
KC,QH,KD,7S,7D,JD,loss
TC,9S,TH,QC,TS,KC,loss
KD,QH,8H,6D,QC,7C,win
8S,AD,AC,QH,KC,7H,win
JD,9D,6H,QC,8H,TS,win
QD,TD,JD,KH,7D,7H,win
TS,7D,AH,JC,6C,8C,loss
7D,JD,TS,KH,AS,6H,loss
8C,9H,JD,QD,9C,7C,loss
QH,6D,KH,AS,9C,KC,win
7H,JH,TC,QC,QH,KH,win
7S,QH,JC,TD,6C,KS,win
JS,8S,8D,6H,QC,AC,loss
9H,7H,QS,9S,TC,KC,loss
AS,QD,8D,6S,TC,AC,win
TD,7D,AD,8H,TS,8S,loss
QH,AD,KD,AC,AH,TS,win
QH,7S,KS,JD,8C,AD,loss
9H,QS,KC,AH,8H,9D,loss
KD,TD,QC,TS,JC,TC,win
9D,8S,QH,TH,8D,AH,loss
8S,AC,QC,JH,JS,6S,loss
8S,KS,AD,7H,JD,QH,loss
AD,8S,7S,9S,7D,AH,win
AS,7D,6C,6D,9D,KD,loss
KS,AC,8D,7S,KC,AH,win
9S,KS,AC,QD,KH,7D,loss
JH,9S,KC,6C,8S,6H,loss
9S,KS,6D,6S,JD,9H,win
TC,QS,JS,QC,7C,AH,loss
KS,JC,8D,JD,8C,TD,loss
7D,6D,AC,8C,7S,7C,win
AD,9C,QD,6S,9D,6C,win
8H,JD,JH,JC,6S,JS,win
7C,9S,6C,TS,QC,7H,loss
AS,QH,TS,QD,7H,KS,loss
QS,KS,JS,KC,8C,TH,win
AD,AH,TD,KD,AC,AS,win
9S,8S,AH,KS,JS,QS,win
JD,AS,8C,8H,7C,TC,loss
8H,7S,7H,9D,7D,AS,win
9D,6C,QD,8S,JH,QC,loss
9S,9H,TH,6H,KS,KH,win
KS,6H,KC,QH,9H,TH,loss
AH,8H,KC,6H,6C,9S,loss
7H,AH,6D,7C,8H,AC,win
8S,KS,8D,KC,9C,7S,win
9C,8C,9S,QC,JH,6C,loss
QH,KC,AC,8C,QS,AD,win
8D,7H,KD,6C,7S,JD,win
QS,6S,KD,AD,7S,TC,loss
9H,AH,AC,JC,8H,JH,loss
QH,9S,KS,TS,8S,JH,win
AD,TH,9S,AS,8D,QS,loss
8C,QC,7H,KC,8H,7S,win
JC,JH,9C,6C,AH,8H,loss
9D,JS,9S,7C,TC,AS,loss
7C,QC,AD,QH,KH,AS,win
6D,6S,8D,9D,7H,7D,loss
6D,8D,TD,JC,AD,7H,loss
JC,6D,AC,7C,JD,QC,win
6D,QC,QS,9H,7S,QH,win
6S,QS,6C,7D,7H,JD,win
KC,9S,8H,JD,6D,7H,loss
6H,TS,7C,KH,8D,6D,loss
7S,QC,9S,TS,8D,QS,loss
QC,8D,TC,JD,KH,8H,loss
JC,6S,9S,7C,AS,TH,loss
JD,9H,AH,8H,AS,TD,loss
JD,TD,8H,TC,9D,7H,loss
AH,JS,QH,QD,7S,JC,win
9D,9H,8C,7H,JC,TS,win
AD,9H,9S,AC,KS,8D,win
6S,6D,AC,7C,JH,8D,loss
KD,9D,8S,8C,JC,6H,loss
6S,7C,AS,KC,TH,JH,loss
9S,6H,KC,8D,6D,TH,loss
JD,6S,JH,7S,9H,AC,win
TS,TD,JS,8D,KH,6H,win
