card1,card2,card3,card4,card5,result
7C,AD,QS,JC,8D,loss
TC,KS,JC,TD,QD,loss
9S,KD,6D,AD,9H,win
AS,7C,QC,AD,7H,win
JS,8C,8H,TD,9S,loss
AC,KS,6C,KH,8D,loss
AH,JS,KH,8C,TC,loss
7D,7C,KC,QC,6H,win
8C,TS,7C,7H,QS,win
TH,QS,8S,QC,TS,win
QH,8H,KC,QD,TC,loss
7H,7D,KH,QD,JD,win
QC,6D,7H,7S,6H,win
9D,AD,8H,QH,KH,loss
6D,6H,8D,KS,JD,loss
AD,8C,AH,6D,AS,win
6D,6H,AH,9S,KC,win
TS,JD,KD,8S,7H,win
JH,KD,JC,AD,6S,win
8H,TS,8C,6S,KH,win
7S,9C,AD,KH,8S,loss
9D,TD,7H,7D,TH,win
JD,TC,KC,7S,JS,win
TH,9S,QH,AD,JC,win
8H,9H,QC,8S,QH,loss
TD,6D,JS,9H,JC,win
KS,AS,9S,QC,JS,win
KS,KD,QS,7S,JH,win
TD,6D,KS,9C,7D,loss
AD,KD,QS,TS,6H,win
JH,JD,6S,7S,9S,loss
JD,8D,QS,7H,TC,win
TD,AC,KS,AD,KH,win
KS,9H,7H,KC,6S,win
JD,6D,8C,AS,8H,loss
8H,6S,KD,TH,JD,win
