card1,card2,card3,card4,card5,result
TS,6D,6S,KC,AC,win
JD,AS,JH,9C,QS,loss
QH,7C,TC,AC,JH,win
6D,TC,TH,6C,9S,loss
6D,JD,QD,KH,7C,win
JH,JS,8H,TS,QS,win
9H,6H,JH,9D,TS,loss
6D,7S,QS,JD,KH,loss
AC,AD,KS,KC,6D,win
TS,TC,8H,AS,KS,loss
AS,QS,AD,JC,TH,loss
6D,6H,TS,7C,JS,win
AH,TS,AS,AC,7C,win
9C,AH,6D,QH,TH,loss
9S,9C,JC,AS,TS,win
QC,QD,6H,7S,9D,loss
8C,KD,JD,TD,9S,loss
KH,AS,QD,8C,QS,loss
KH,9H,TD,6C,QD,loss
7S,KC,QD,AH,6D,win
KS,8H,TD,TH,6H,win
7D,9H,8C,6S,JD,loss
KH,QS,9D,6S,QD,win
9D,JC,8C,6S,9H,loss
8D,8C,7H,QS,TC,loss
JH,TH,AC,7S,JC,loss
8D,9C,QC,TH,8S,loss
JD,KC,QS,7C,AH,loss
8C,9H,KD,AH,AS,loss
JH,8D,6S,KD,TD,win
TS,9D,QS,6H,7D,loss
KH,AD,7C,QS,JD,loss
KD,8C,9S,9H,6S,win
9H,QH,8D,QD,8C,loss
AD,AS,AH,6S,KH,win
8H,TS,KD,JD,9C,loss
KC,9H,8C,KS,JD,loss
TH,7H,AC,8C,JS,win
9C,AC,7H,JS,KS,loss
QS,JH,AC,AH,QH,win
7S,9H,8C,JH,9C,loss
AD,KC,AS,QC,8S,win
9S,8C,6C,7S,7H,loss
AD,KH,7H,TD,7D,loss
9D,JC,7S,JS,QS,win
TS,TD,8C,QC,KC,win
JD,QD,JH,TD,7H,loss
8H,AH,KS,QC,6H,win
TD,6S,7C,8D,KH,win
JH,8H,9H,QH,QD,loss
QH,AC,8C,KD,KC,loss
AH,KH,6D,JS,8D,win
JS,9C,9H,9S,7H,win
9S,9D,8C,TC,TH,win
AS,QS,8S,6D,9H,loss
KC,JS,AC,7D,9S,loss
AD,TH,7D,8S,JH,win
9H,KS,TD,7H,8H,loss
KH,8C,AD,QC,9C,win
9S,QH,7H,TC,TD,win
7D,QS,KS,AH,8D,loss
8H,6S,7D,TS,8D,loss
AS,KS,JH,KC,6H,loss
7D,7H,QD,9C,QC,loss
TC,9S,9H,8H,AS,win
AH,8S,QD,TD,9S,loss
KD,AH,QH,AC,7D,win
8D,6D,TC,9D,JH,loss
6S,QC,JH,KD,7C,loss
9S,AC,7S,6H,KS,loss
AS,7D,8H,7H,QC,loss
QC,KD,JH,QS,6C,loss
6C,9S,QS,7S,JS,win
7S,AS,TS,8S,7D,win
KD,6H,TH,7H,6S,loss
AC,KH,9S,7S,8C,loss
8S,8H,8D,8C,9H,win
8H,6D,7H,KH,QC,loss
9C,JS,KC,9S,6S,win
AC,7C,6D,6H,JC,win
6C,TS,KC,9D,8D,win
JC,KC,9C,9H,JS,win
KD,7C,9C,KC,JC,win
AS,7C,JH,8D,JC,loss
TC,JC,TD,7S,7C,win
QH,7D,JD,KC,9H,loss
8D,QH,TD,6H,9D,win
6S,TH,JH,QH,6H,win
AH,7D,QC,JC,AD,loss
6C,JH,AC,9D,7C,win
9D,AS,8S,7S,JS,loss
TS,9H,KD,6H,8C,loss
9D,QD,8C,QS,QC,win
9H,6H,8C,QS,7S,loss
QC,KC,TC,TS,6C,loss
AC,TD,JD,7S,KD,win
7C,AD,7H,JH,AC,win
KH,6D,QD,7H,JH,loss
6H,AD,TD,JH,KC,win
QS,TD,7H,8S,KD,loss
7D,8D,AC,9C,QD,loss
AH,7C,9S,JH,6S,loss
6D,JD,9C,KH,AH,win
AS,7C,TS,8H,7H,win
JH,8C,8H,JS,QC,win
KD,QS,JS,QC,8H,win
AC,TC,TD,AS,6C,win
QS,QD,6C,KD,QC,win
7D,KC,8C,7S,6D,win
JH,QH,8D,8C,9C,win
KS,9H,8D,9S,QC,loss
TD,6C,8C,TH,6S,win
6S,7H,7C,AC,AH,loss
AC,AS,QS,6H,KH,win
8D,KC,KD,JH,AD,loss
6H,QC,TS,6D,TH,loss
7C,QH,7D,JS,6H,loss
9H,AH,AD,8C,QD,win
TS,7C,7S,TD,JD,win
JC,6C,KC,KD,TD,loss
AH,9S,8C,TC,JD,win
7H,QC,8H,AS,8C,loss
TC,6S,JS,KD,TS,win
KD,QD,JS,9S,7H,win
8C,8S,6C,KS,TD,loss
6H,7H,TS,6C,KC,loss
JS,JC,6S,8S,AC,win
QH,9H,AH,KS,7S,loss
6C,6H,KD,AD,TC,loss
KS,JC,8C,8D,TH,loss
KS,QH,6C,TS,JS,loss
QD,9S,AH,6S,9H,loss
KD,JD,6S,KH,AD,loss
TC,9D,QC,AS,TD,win
8D,AD,6S,8H,6C,win
8H,9D,QD,6S,KS,win
AD,AH,9C,7S,KD,loss
9H,JC,QS,AC,8C,loss
KH,7S,JC,KD,QC,win
8D,TH,8H,AH,6D,loss
JD,8S,7C,AC,9S,loss
TS,KH,6H,KS,KC,win
8S,AH,TH,7H,JC,win
TH,AS,9C,8S,8D,loss
8H,6H,8S,QC,9D,win
KS,9S,AH,JS,TD,loss
7S,9H,JC,8H,QS,win
JH,TC,QS,8H,AS,win
6C,TH,9C,QS,JD,loss
KD,QS,JH,KH,7C,win
6H,JH,AH,TS,AD,loss
KH,KC,6S,QD,QC,win
KH,QC,TH,QH,8H,loss
TH,8H,7H,6H,TC,win
6S,TD,8C,QD,AC,loss
QD,7H,8C,JD,QC,win
9H,9D,8C,6H,TD,win
9S,6D,KC,7S,JD,loss
KS,QC,6D,8D,AD,loss
6D,QH,KH,7C,TH,win
QS,7D,6C,7S,9S,loss
7D,7S,8C,JH,KD,loss
7D,AD,6D,8S,TC,loss
6C,8D,7H,KS,6S,win
6D,6C,KS,TC,QD,win
QH,QD,7S,KC,6D,win
QD,TH,6D,TD,6H,win
KD,AC,7C,QC,AD,loss
KD,6S,TS,AC,6D,loss
JH,8H,AC,KD,7D,win
7D,9S,6S,QS,9D,loss
7S,AC,8H,8C,8S,loss
6C,QC,JS,9D,KD,loss
7D,QD,JS,QS,6D,loss
9H,KS,7D,AC,6C,win
TD,6D,KD,AS,TC,win
KC,JS,TC,KH,QC,win
TC,QS,8D,6C,TD,win
KS,QD,JH,9C,TS,win
AS,8D,KD,8S,6D,win
8H,KH,7H,7D,QC,loss
8D,TC,KC,JD,6H,loss
KD,9C,8H,TH,8C,loss
8C,TD,JS,AD,6H,loss
KD,AC,AD,6C,QC,win
AS,KS,9S,TC,KD,win
KS,8H,JS,7C,KD,win
QD,AD,QH,AC,TD,loss
7C,QC,AC,TH,6H,loss
KC,TC,8S,AS,TH,loss
AC,6C,8C,6S,7H,win
KC,7S,7D,KH,AC,win
8S,TH,9D,AC,8D,win
QD,8C,QC,TC,6H,win
9H,9D,AS,QC,QH,win
QH,QS,QC,KH,TD,win
JS,7C,8H,8D,9S,win
6C,KD,7S,7C,TS,loss
7D,KC,QC,9C,8S,loss
9C,AS,JS,7C,8D,loss
KH,7S,6H,TH,KD,win
6D,AH,TH,8H,9C,loss
QC,AH,JS,QD,KD,win
JH,JS,QS,8H,7C,win
AC,QC,8C,TD,QS,win
9C,QD,TS,QC,JD,loss
QC,8D,8C,JD,KS,win
7S,6S,9H,8D,9D,loss
6D,7D,6C,JC,TS,loss
QD,JH,QS,JC,AS,win
7S,7C,8C,6H,QD,loss
KC,8C,9D,AD,TD,loss
JD,QC,JS,7S,8H,win
QH,AH,TC,8S,JH,win
JS,AS,QC,8H,QH,win
JH,8D,AD,QD,JS,loss
8C,7C,TH,KD,JS,loss
KS,8S,TD,8H,AD,win
6D,AC,AD,7H,8H,win
JC,QH,AS,TD,8H,loss
9H,TS,QH,8D,9C,win
QC,6D,9H,AD,8S,loss
8S,AS,8C,QC,QD,win
KC,TS,AH,8C,7H,win
TH,QH,AD,AH,8S,loss
9D,9H,9C,QC,6C,win
JC,JS,TC,AH,8C,win
AD,TH,7S,9H,JD,win
7H,9D,8H,KC,9S,win
7D,KS,9C,6D,9H,loss
AC,9H,JH,8S,JD,win
7H,JD,AC,9C,AS,loss
TC,7H,AH,KH,JC,loss
KH,QD,TD,8C,7H,win
7D,7S,QD,AD,8C,loss
JD,AD,TC,TH,6H,loss
6C,TC,KC,8C,JH,loss
KD,KC,9H,9D,7H,win
8C,8D,TS,6S,QS,loss
8S,8C,JD,JH,7H,loss
KS,6S,JH,6C,TC,loss
8H,TH,6S,KH,6C,loss
AD,QH,TH,TD,AC,loss
QD,QH,JD,7C,7S,loss
KD,AC,TS,TC,8D,win
9D,9H,AH,9C,TD,win
9S,7D,6H,JH,9H,loss
6S,QC,KC,QD,QH,win
8H,AH,8D,KC,KH,loss
7S,AC,TD,QD,TS,win
TC,AC,QS,6S,JS,loss
JS,8S,7C,KS,JC,win
7H,AC,QS,8D,9C,loss
8C,JH,TD,6S,KH,loss
TD,KH,KS,TC,7S,win
8D,6C,QC,QS,6S,win
9S,9H,QC,TD,9D,win
7S,9D,JD,JS,TC,win
AH,7C,KH,JH,9D,loss
9D,KD,8H,6H,6S,loss
7S,KD,QH,JS,8H,loss
6C,JS,KD,9C,TC,win
7C,7D,JD,QD,TD,win
8C,KS,TH,6S,JC,win
AH,9S,KS,KD,8C,loss
QH,KS,JS,6D,QS,win
KD,9D,TD,JS,6S,win
6H,6D,TS,JC,7C,loss
7S,9C,8C,9H,JC,win
TS,JC,8D,QH,AH,loss
8H,6D,6C,7H,JH,loss
QD,7D,QH,KH,TD,loss
KC,JS,KH,AH,8C,win
JS,9H,JH,9S,QC,win
AC,KS,6C,QH,JD,win
JH,9H,7S,6H,QC,loss
JH,7D,9C,AH,TC,loss
QC,9H,8D,JH,9C,loss
KH,6S,8H,QD,AC,win
JS,8S,6H,8C,AC,loss
9H,6H,9D,7S,JC,win
KC,KS,AD,QS,TC,win
6D,AC,KC,KS,8C,win
KD,8S,TH,8D,9S,loss
8H,QH,JD,9H,9S,loss
KC,TH,AD,9D,TC,win
TS,7D,JC,8D,TD,win
JS,QD,AD,AS,9D,win
8H,AS,9C,8C,7H,loss
JD,QD,JC,TH,AC,win
KH,7C,8H,9D,7H,win
7D,7C,JD,9H,AD,loss
7C,KH,8S,KC,6H,loss
KH,JC,8H,AD,JH,win
TH,JS,7S,QC,QD,loss
7H,TC,7D,9S,TD,loss
AD,JD,QC,TC,6C,win
AS,8S,9H,KS,6S,loss
7H,7C,KS,AS,8S,win
JS,QC,6C,TH,AD,win
6D,9H,KD,TC,8H,win
QD,JS,8D,TC,6H,loss
9C,8S,QH,JH,6H,loss
7D,6H,AS,TS,TD,win
TS,8S,6H,7S,TC,loss
6C,QS,6S,JD,QD,win
8S,JD,9H,6S,JC,win
AS,9D,JC,8H,AD,win
8D,7D,9H,9C,AS,win
AD,8S,QD,9C,JS,loss
9C,6D,AS,8C,6C,loss
KS,KH,KD,9D,7H,win
JS,6D,8H,9S,TD,loss
7C,6C,9S,9C,QD,win
JC,JH,8H,KS,KH,win
AC,7H,8D,QS,AS,win
8S,JS,TH,8D,6C,loss
AS,QC,JH,AH,6S,win
QH,7H,TH,6C,QD,loss
JS,JD,TD,TH,9D,loss
KH,6H,JC,6D,AC,win
QS,8D,AC,QD,7C,loss
JH,TS,KH,AC,8S,loss
AC,QC,JS,KD,QS,loss
AC,AS,KH,8D,7C,win
AH,AC,8H,TS,TD,win
KD,TD,8D,6H,TH,win
6C,AS,6D,TC,9S,win
AC,8H,KH,QD,7H,loss
9D,TS,7S,JD,8C,win
JD,JC,TD,AD,6S,loss
7H,JC,8C,6C,JH,win
KC,7H,QC,8D,JS,loss
QD,KH,JD,8S,KD,win
TD,8C,JD,JS,KD,win
7C,7D,8C,JS,6S,loss
KH,AD,AS,JC,AC,win
9C,AS,QH,9D,QC,win
7D,6C,AS,8H,TH,loss
TC,7S,TD,9H,JS,win
7D,9D,AC,KS,8D,loss
AH,KD,AD,KC,8S,win
AD,KC,KS,QS,JC,loss
8H,KD,7C,7S,JS,loss
KD,8S,6H,AH,6S,loss
KH,JC,8H,7S,AH,win
JH,6D,QD,JC,TC,win
KD,8S,6C,7D,6H,loss
KC,KS,9C,TH,7S,win
QD,JH,7D,QC,TH,win
9S,TS,7D,6C,QS,loss
8C,7H,7S,QD,AH,loss
TC,7D,7C,9C,JH,loss
KC,QC,TS,KH,7S,loss
8H,9H,8D,JH,QD,win
AS,7C,7S,KC,9C,loss
AC,KD,9S,8H,QD,loss
QD,7S,7H,AD,9H,win
9S,7C,QD,AC,6C,win
AD,AH,7D,QC,6D,win
9H,QS,AS,6S,7D,win
7H,QS,KH,8S,8C,loss
JD,7H,QC,TH,JS,loss
JC,6C,TH,KD,9C,loss
AD,8D,TH,TC,KD,loss
KC,AH,JD,JH,TS,win
QC,TS,9C,9D,QS,win
AC,KD,7C,6C,JS,win
7C,KD,8H,AH,QC,loss
AC,QD,6D,JC,6H,win
6C,JD,8C,AD,8S,win
QS,TC,8C,7S,KH,win
JC,QC,9S,9C,KC,loss
KC,JC,KD,6H,KH,win
JD,8D,JC,6S,7C,win
QH,TD,JS,KH,8D,win
6D,TC,JD,6S,8H,win
8H,JH,TC,TS,KH,loss
8H,8S,AS,AH,6C,loss
7H,9C,9S,JH,AD,win
6S,TS,AC,AD,TC,win
6S,AC,6H,KS,9H,win
AC,QD,7H,9S,TH,loss
QC,9H,7H,9C,7D,win
JH,9H,AS,8D,9C,loss
7D,AH,KS,TC,AD,loss
KD,8C,AC,8H,AH,loss
QD,9S,AH,TD,KH,loss
QH,8C,7H,AH,JC,loss
8D,9C,TH,7S,7H,loss
9H,7C,JC,AH,QH,win
JD,8D,7S,QS,9S,loss
TS,6H,AS,JC,QD,loss
AC,KC,KS,6S,TC,win
8D,TD,7H,9D,7S,loss
TH,7S,6H,9C,9D,win
6S,6H,9H,TC,JC,loss
JC,AS,6S,KC,TH,win
AS,7H,9S,8H,TS,loss
KD,6D,JH,TC,7C,loss
QC,7D,9H,6S,KS,loss
JH,9D,7C,QC,8D,loss
8C,AD,JS,6S,7H,loss
QS,QH,8S,AH,JS,loss
QS,9C,JS,7C,7H,win
AH,KD,TH,7S,JD,loss
AH,KC,AC,AD,TH,win
7H,QH,9C,AS,7C,loss
7D,TC,6H,JD,7C,loss
9H,7H,6H,KD,7C,win
AH,9D,9C,QH,KD,loss
6S,8C,KS,KD,9S,loss
KD,9D,6C,KS,JC,win
7H,8D,QC,6C,TC,loss
KD,JD,JH,8D,9H,loss
AC,KD,8D,7H,QD,win
8H,8C,TC,TS,7D,loss
7S,8H,TS,8S,JS,win
9H,JC,AC,JS,7D,win
JS,9H,QH,TS,8C,loss
7C,TS,QC,QS,9S,loss
TD,AS,8H,KD,8C,loss
QC,8D,7D,KD,8H,win
6H,AS,KH,QS,9D,loss
QS,AS,KH,TS,8S,loss
AH,7D,6C,JH,TS,win
9D,8D,KS,7S,TD,win
9D,7H,7C,KD,QH,loss
7D,8D,KS,9H,AC,loss
AC,8D,AD,9H,QH,win
AD,7S,KS,6H,7H,loss
JS,JC,QS,9S,6C,loss
KH,JS,KC,6D,QS,loss
AD,AS,9S,8S,KC,loss
JS,9H,7C,TD,6D,loss
QD,7C,AS,AC,8C,loss
QC,KD,QS,AC,7C,win
AD,7S,QH,7H,6H,loss
TH,QS,QH,KC,9H,win
7C,6C,9H,AC,TH,win
TS,AC,KC,JD,6S,loss
TC,6C,7C,TH,QH,win
KC,9H,9D,TC,7H,win
7S,6H,AS,TC,KS,loss
6S,KC,AS,TD,9S,loss
JH,8C,9C,AS,KS,loss
AH,TS,KD,9C,AC,win
KH,KC,KD,TS,JD,win
6H,6C,9D,9S,TH,loss
8C,AH,7C,9H,8H,loss
9S,JD,AD,QH,KS,loss
8D,7D,QH,7S,QC,loss
TH,6D,7H,QH,9H,loss
7H,QC,JS,8S,6D,win
8C,AD,JD,7S,QH,loss
9D,KD,JC,9H,AD,loss
KD,7H,KS,6C,8S,win
6D,7C,9D,AD,TH,win
QS,KC,9D,QD,AC,win
KS,9S,6D,TS,JD,loss
AS,7D,8C,JC,AH,win
TC,7S,7C,KD,9H,win
7H,KC,TC,7S,6D,loss
9H,AH,6C,AC,AS,win
9C,KC,8C,8H,TS,win
8D,8S,9D,7C,TD,win
KD,9C,6C,AH,KS,win
JD,6S,8C,AC,QS,loss
6C,AC,QD,QS,AS,win
8H,TD,KH,6H,9S,win
AD,JH,AH,7C,9D,loss
8D,AH,JH,7H,QS,loss
8H,8S,KH,6H,AS,loss
6C,AS,KH,8D,AD,loss
QC,TC,6H,8S,KS,loss
8C,JD,AD,8D,AS,win
KC,9C,7D,TS,JD,win
7C,9C,JC,QH,8D,loss
TD,QC,9C,AH,AD,loss
9C,6H,7D,TS,JC,win
8D,KC,6S,AC,AD,win
AH,AS,QH,JS,TS,loss
AD,8S,7D,AS,6D,win
KS,6D,JC,8H,7H,loss
6H,TS,6C,8C,JS,win
7D,KH,9H,7S,9D,loss
9D,JS,6C,8S,7S,loss
TH,6D,JC,6C,9C,loss
QD,9S,9C,8S,TC,win
AS,JC,8C,9D,QD,win
QC,7S,TC,JS,QH,loss
AD,JD,TD,6C,AH,win
TH,8C,9S,AD,8H,loss
7S,6D,AH,6S,9S,loss
TS,QD,QS,7H,JC,win
TS,8D,7S,TC,7D,win
QC,TC,KS,KD,7C,win
TS,KS,JH,JC,QD,win
6S,7D,TC,8D,AD,loss
TC,8D,KC,6C,8S,win
TD,KH,AC,9H,8S,loss
JS,TC,8D,6H,6D,loss
QS,6S,QD,6H,AD,win
JS,7H,QD,8C,KD,loss
8S,9C,JC,7C,AC,win
6D,7S,KS,AC,KC,loss
QS,7S,8C,TD,9D,loss
AS,7H,9S,JH,TC,loss
JH,TD,KH,7D,AD,win
7S,QS,QC,JH,AH,win
6H,QH,7H,9C,7D,loss
QD,JC,7S,8D,TH,win
8D,QS,9S,JH,KC,loss
8S,JC,TD,JH,KC,win
TC,QS,QD,9D,7C,loss
TC,AH,7C,7H,QS,loss
6H,AS,QH,TH,AD,win
KH,KS,8H,9C,8C,loss
8S,AC,QC,QS,AD,loss
6D,QS,9D,KH,8H,loss
AH,QC,TD,9C,6C,win
8D,6D,8C,JS,TH,win
6D,JH,TS,6S,AS,win
QC,JC,9S,KH,AH,loss
6D,AS,QH,JC,AD,loss
TS,7C,KH,AS,7D,win
7D,9S,6C,AH,QD,loss
TC,TS,9H,7D,AS,win
TC,9C,9D,KC,6C,win
6H,AC,9H,TD,AD,loss
JC,6C,AS,7H,TC,loss
JH,TC,TS,JC,7D,win
7C,6H,QH,TH,7D,win
6D,7S,KD,KS,TC,loss
9D,JD,8S,AH,9H,loss
AC,TD,6H,QS,8C,loss
TC,QD,JS,QS,QC,win
9D,9C,6H,8C,JC,win
6H,7C,TH,7D,6D,win
7H,JS,8H,8D,9D,loss
KH,7S,JC,TH,6C,loss
8S,8D,TD,7S,6D,loss
6S,9H,KS,8H,9C,win
TH,TC,9C,KD,6C,win
TC,JD,7C,8C,QC,win
JC,8S,7D,9C,AD,win
QH,8C,KH,JH,QS,win
QD,6D,JD,7D,AC,win
QH,QC,6D,KH,QS,win
6C,TC,JD,KC,QH,win
QC,TH,QD,8D,9H,win
9C,QH,TH,TS,6D,win
AC,9S,QC,JD,AD,win
AS,TD,QS,6H,8D,loss
JH,QS,JC,7S,QH,win
8D,AC,9D,8H,8C,win
QS,TS,6D,7S,8C,loss
9D,QC,AS,7S,9S,win
TC,TS,9H,6D,JS,win
JC,8D,6D,AD,TS,loss
TH,6S,JH,7S,8D,loss
JS,9H,9C,6C,QD,win
KD,9C,TH,7D,KS,win
8C,6H,TS,6C,AH,loss
9C,7H,7C,KD,6H,win
KD,TD,7S,AH,QD,win
6S,6H,AS,JH,7S,win
TH,KH,8D,JS,6D,loss
8D,KS,AS,TD,7H,loss
7H,9C,KH,TS,AC,loss
AH,9C,7S,TC,7D,loss
8D,JC,TH,7H,6D,loss
6H,KH,6D,7H,8C,loss
TH,KC,KD,9S,AH,win
TH,6D,7D,7H,AH,loss
TC,JC,6D,6S,8C,loss
KS,9H,KD,7H,8H,win
JH,JD,TC,AC,QD,win
QD,9C,JH,8H,KS,win
9S,KD,6D,KC,AC,win
TH,JC,9H,8D,6D,win
JC,AS,7D,AH,9S,win
TD,9H,KS,AC,AD,loss
7H,JH,9S,KH,6C,loss
KS,9C,7D,TH,AS,loss
KC,6H,9H,QD,KD,win
JD,7H,8C,QD,6C,win
QD,6H,AS,AC,9C,win
KD,6C,7S,JD,9C,loss
QH,6H,7H,9H,AC,loss
QC,7D,KH,TC,TH,loss
8D,AC,7S,7H,AH,loss
QS,AC,JS,JD,AH,win
9C,6D,7D,8D,7C,win
6D,AS,AC,9H,6C,loss
7H,KS,JS,8C,9D,win
JH,TH,8C,9H,KC,win
6S,7H,6H,8D,8C,loss
JD,JH,9C,6C,7H,win
JH,8H,KC,TS,6D,loss
7S,6D,KC,JC,6S,win
TC,7S,JD,TH,KC,win
7C,8D,JS,QC,TD,loss
QD,7S,9H,9C,AH,loss
8C,AD,TS,7S,6S,loss
TC,6H,AD,QC,9S,loss
TS,AD,9H,8C,7H,loss
JD,8S,QC,KS,7C,loss
QD,7D,6H,TS,TD,win
6S,8S,8D,JH,AH,win
8H,KD,QC,TC,KC,win
8S,KC,JH,8H,AD,loss
QC,KH,8S,TS,TH,loss
AD,QS,9C,AH,8H,win
AD,TS,9C,AS,JH,loss
8D,TD,KS,8C,9C,loss
JS,TH,QH,6C,9S,loss
AD,9C,8C,6S,QD,loss
KS,QD,8H,6C,TH,loss
8H,AH,JH,6S,8D,win
KH,KD,TD,AS,7H,loss
8C,JH,AD,9C,6D,loss
8D,9H,KH,8C,9D,loss
TS,7S,9H,TD,KS,loss
9S,6S,KD,7H,QC,loss
JS,6C,6H,TD,8S,loss
8S,7S,KS,7D,JS,win
QH,7S,QC,6H,QD,win
TC,6C,QS,6H,7C,loss
AD,JH,KD,AC,9C,loss
9D,6H,KD,7C,TH,loss
AD,QS,KH,JC,8H,loss
TS,JH,7D,AH,8C,win
7H,7S,QH,KH,AS,win
KD,7S,8C,9S,KC,loss
9D,AC,7D,KH,JC,loss
KC,6C,7S,7H,KH,win
JH,AS,QH,TS,AC,loss
TH,9H,9C,AH,AD,win
JD,TC,8S,AC,9D,win
8C,KC,JC,TH,TS,win
TH,JD,6S,6H,TC,loss
QD,JS,8S,QS,JH,win
TS,QS,6C,7C,9D,loss
KH,7C,6C,7D,JS,win
8D,TC,8S,QC,9C,loss
AH,KC,8H,7H,AC,win
7D,TS,7C,JH,JS,loss
9H,AC,KC,6C,JD,loss
8C,KH,QH,8S,QC,loss
KS,6C,9D,JC,6H,win
QS,JH,6C,TC,AD,loss
JC,KS,AS,KC,QD,win
7D,QC,7C,JC,KD,loss
QD,8C,KC,QH,TC,win
TH,QC,TD,7H,8C,win
8S,9S,6D,AH,6S,win
6S,6D,8D,QS,TH,loss
7D,QH,AC,KC,TH,loss
AS,7C,9D,TD,AC,loss
9C,KC,TH,7C,9H,loss
QS,TS,8S,KC,7S,win
JS,6S,QC,TH,KS,loss
AD,7H,6D,9S,8H,loss
8S,JH,QH,QS,AH,win
9H,QS,6S,AS,TS,win
KH,7D,9C,7S,KS,win
7D,7C,KH,AC,QH,loss
QC,JH,TD,6H,JC,win
TD,9C,JS,QD,7H,loss
6H,KD,8D,KS,9C,win
KH,KC,AC,JD,6C,win
KD,AH,QD,JD,JS,win
KD,KC,AS,AH,9H,win
JS,TD,8C,KD,QD,win
9S,AH,9C,TC,TS,win
6H,7H,QS,QD,TD,loss
7H,7C,8D,6S,TS,loss
JS,AH,TD,6S,QC,win
KH,JS,TC,QH,8H,loss
KS,7H,QS,KC,TH,win
KD,QD,9H,6S,7D,loss
6D,6S,6C,JD,QH,win
7S,9C,JH,7D,TD,win
TC,6S,6C,9D,AH,win
7D,9H,8D,QH,AH,loss
6S,9H,8H,AH,TC,loss
8H,TD,6H,8C,KC,win
JC,6D,JH,AS,QD,loss
TH,TC,9H,KC,AH,win
AS,KC,TH,9S,9D,loss
KH,QC,KC,TS,KD,win
6D,7S,TD,QD,JH,loss
JH,8D,6C,7C,TS,loss
AD,KD,KH,9S,TC,loss
AD,9C,6H,TH,7H,loss
7S,KD,TD,6C,QD,loss
AS,9S,JC,7D,JD,loss
AH,8C,JC,JD,9H,loss
8D,6S,8H,7H,9D,loss
9H,7C,9D,9C,8C,win
JS,KH,TS,7H,JD,loss
9H,6S,KC,JC,AC,loss
QH,AC,JD,QC,KH,loss
9S,7S,AC,6S,9D,loss
6D,QD,KS,6H,9H,loss
TC,AD,AH,8C,KS,win
TC,6H,6S,8C,8H,win
9D,QS,AS,KD,9H,win
TD,7C,KD,9S,TC,loss
6H,QS,TC,JS,8D,loss
8H,TS,KS,TD,8C,loss
6D,AH,AC,6C,KC,win
JS,9C,7D,QD,KS,win
9S,8D,TC,JD,7C,loss
TS,8S,AS,JD,7S,win
9C,QH,KS,8C,AS,win
9D,JC,TD,KH,7D,loss
6D,6H,6C,JS,KC,win
6D,TS,8D,6H,QC,win
8D,QS,AS,QH,QD,win
KS,QS,9D,KH,KC,win
JH,7C,6S,8D,8C,loss
TS,AH,TD,JC,9D,win
8H,JC,QS,7C,7H,win
6S,6H,8H,JH,TH,win
6C,QC,AH,8D,8S,loss
KH,TD,JS,JC,9H,win
9D,7H,8D,6S,AD,loss
7S,9S,AC,KS,6H,loss
QD,7S,KD,QC,6H,win
8C,KS,9S,8S,7C,win
JC,6H,KH,9C,8H,win
TD,JH,QS,QD,TC,win
TH,8C,KH,9H,JC,win
TS,8D,JD,8C,AC,win
AD,8C,AC,6D,6C,win
6H,6D,AS,6S,KC,win
KC,7C,7H,9C,9D,loss
JH,KD,9S,TH,QS,win
AH,TD,6H,QH,QC,loss
QH,6D,AH,6C,6S,win
AC,AH,8S,TS,TD,loss
AS,9S,AD,AC,TD,win
7H,6H,JH,KS,8D,loss
7H,6S,9C,9D,QD,loss
AD,KD,JD,KC,TC,win
AS,KS,9H,QD,8C,loss
9S,6C,6D,TH,QH,win
7D,QD,TS,KD,8C,loss
AD,KD,JS,QC,8D,loss
JS,JD,KS,8S,TC,win
JD,TD,6C,9C,KD,win
TS,7H,JD,6D,KS,loss
JH,JD,8C,TH,6D,loss
TS,TC,JH,KD,9H,win
QS,KD,KS,JS,AD,win
JS,AS,KS,QC,JD,win
9D,7C,AS,QH,KS,loss
QS,9H,AC,9S,6C,win
QH,6C,KC,7H,QS,loss
JS,7D,6S,TS,AS,win
6D,7D,6S,KH,7C,loss
KD,8H,JD,9S,8S,loss
9S,8S,8H,JD,9D,loss
7H,KS,AS,6S,JS,loss
6D,TC,9S,TD,KC,win
KD,KS,6D,QH,QS,win
QD,7H,TC,QH,QC,win
8S,8H,KS,AS,7S,loss
7H,JD,TH,KC,6C,loss
TD,AD,7H,9H,8H,loss
9C,6C,AS,KH,QS,loss
9H,9S,7D,KD,TH,loss
AH,QS,KD,AC,JH,win
KD,JS,AS,9H,7H,loss
JH,9C,6C,QH,QD,loss
8C,9D,9S,TD,TS,win
9D,9S,AC,TS,JD,win
8D,KC,7D,8H,7S,win
JS,TD,6S,8C,7D,loss
7H,TS,8H,7C,JC,win
QD,KD,KC,9H,6H,win
6D,8C,KC,8D,6C,loss
9D,9S,9H,AD,7C,win
8H,8S,6C,TH,JH,win
QH,KS,7C,AS,KD,win
KS,TD,7C,AD,TS,win
AD,6D,7D,TD,JH,win
AC,TD,JC,6D,AH,loss
6S,7S,TD,6C,7C,win
AD,QH,KC,JC,9D,win
7C,QS,8C,8S,QC,win
6H,KC,8D,JC,QC,loss
JD,TS,AH,JC,6S,win
QD,AC,KH,6C,JH,loss
7C,TC,TS,AC,AH,win
9C,AC,AD,6C,JH,win
