card1,card2,card3,card4,card5,bet1,bet2,result
AD,KS,9S,KC,7S,c,c,loss
JH,8H,TC,8C,KC,c,c,loss
8D,6D,AH,9D,8H,c,c,loss
8H,TD,6S,7D,JS,r,c,win
JD,AS,TD,TH,QS,c,r,win
QS,6S,6H,7C,QC,c,c,win
KD,7D,9C,QH,TC,r,r,win
7C,7H,6C,AC,8C,c,r,loss
KD,9C,6H,9D,8D,c,c,win
8C,AS,AD,9D,9H,r,r,loss
8H,AS,TC,7H,JD,c,r,loss
6C,AC,7S,6H,TS,c,r,win
7H,6C,QC,8S,7S,r,r,win
AD,8D,KH,8S,AH,c,r,win
6C,7C,6H,8D,QS,c,r,win
9C,8H,JD,6D,8S,c,c,win
JH,7D,7C,KC,8S,c,c,loss
QC,8C,QS,8H,JH,c,c,win
7S,6S,AH,7C,AS,c,r,loss
KC,AC,JC,KD,JD,c,r,win
KS,7S,8D,AD,9S,c,r,win
6D,JS,AD,8D,6C,r,r,win
TC,TH,JH,TD,9S,c,c,win
KD,QH,8S,9S,9D,c,r,loss
JC,9C,6H,7H,JD,c,r,loss
7S,AD,AH,7H,AC,c,r,win
7H,TS,7S,6D,TD,c,c,loss
6C,KS,QS,8C,AH,c,c,win
KD,JS,AC,TC,9S,c,r,win
AH,6C,QS,AS,TD,c,r,loss
8S,QH,7S,6H,KC,c,r,loss
TS,KH,AH,AD,TH,c,r,loss
AC,7D,6S,QD,AH,c,c,win
AC,JC,JH,AH,8C,c,r,loss
6D,JH,TC,QC,TH,c,r,loss
6D,8C,7C,8D,9S,c,r,loss
KS,7C,9S,9C,7S,r,r,loss
AS,6C,JS,9C,7H,c,r,win
AH,AS,JS,9D,AC,c,r,win
AS,9C,6D,KD,QS,c,r,loss
AD,8H,JS,QH,AH,c,c,win
JC,6D,8D,QS,7C,c,r,loss
7D,7H,KC,AD,8H,c,r,loss
8S,6H,9S,7D,6S,r,r,loss
AD,AC,TC,7H,7D,c,r,win
8D,7D,JD,TH,TC,c,r,loss
TH,TC,TS,JS,9D,c,c,win
6D,AS,QD,9D,7H,r,r,loss
AD,7S,KS,7H,AS,c,c,win
AS,8D,6H,7D,9C,c,r,loss
6H,8H,QH,JC,8C,r,r,win
8D,KC,AC,8H,QH,c,r,loss
7H,JC,JH,6C,8S,r,r,loss
7H,JS,AS,7D,QD,c,c,loss
AD,6D,9H,AS,QS,c,c,win
6C,KH,TC,AD,JC,c,r,loss
9S,AH,8D,7S,JH,c,c,loss
7C,8D,6D,QD,QS,c,r,win
9H,TD,QD,JH,7D,c,c,loss
9C,JS,TC,AC,7H,c,c,loss
KC,QS,AS,JS,8C,c,r,win
7S,JC,8D,TC,9S,c,r,win
8C,TC,7H,KD,TH,c,c,loss
AH,AS,QC,KS,TS,r,r,loss
AH,JH,6H,JD,TD,c,c,win
TS,TD,AH,7S,6D,c,c,win
KC,8C,9C,8S,8D,c,r,win
AD,AS,AC,AH,9S,c,r,win
TD,8S,9S,7S,KH,r,c,loss
6D,AH,JH,8C,9C,c,c,loss
TS,8D,6D,TC,8S,r,c,loss
6H,9H,JS,QC,9S,c,r,loss
7H,6S,9H,9D,JS,c,r,loss
AH,7S,9D,6D,JH,c,r,loss
KD,JC,AH,KH,7H,r,r,win
TC,9H,JD,KS,7S,c,c,win
AC,8H,JH,TC,8D,c,r,loss
8C,9C,8S,6C,QD,c,c,win
8H,JC,9S,JD,TC,c,r,loss
AC,6H,8S,9D,6D,c,r,win
9C,AD,TH,8D,8S,c,r,loss
QC,6S,TD,JC,KD,r,r,loss
8H,QS,7S,7D,AD,c,r,win
KD,9S,AD,AC,8S,c,r,loss
KS,7D,9C,6S,QD,r,r,loss
TS,QC,TC,TH,9S,c,r,win
6H,9H,QC,AS,TD,c,r,loss
JC,TH,8C,8S,6S,c,r,loss
9S,7S,7C,JD,QS,c,r,win
JS,6C,AS,JH,8H,c,c,win
9H,TC,7S,QD,QC,r,r,loss
QH,TS,8D,8S,7H,c,r,loss
8C,8H,JD,KH,QH,c,r,win
6C,6H,6D,9D,9C,c,r,win
AH,QH,8C,AD,6C,c,r,win
KS,7C,QC,8C,AS,r,r,loss
JC,8D,AC,QD,JS,c,c,win
KH,AS,9D,JC,TC,c,c,win
7D,8D,QC,8S,8H,r,r,win
KH,JH,7C,KD,8D,c,c,win
KC,JC,JH,8C,7D,c,r,win
9C,QS,QD,QH,TS,r,r,win
9S,7H,8D,AD,KH,c,r,loss
KC,8C,QD,9D,9C,c,r,win
KH,TC,9D,JH,KS,c,r,win
KD,KH,KC,8H,9C,c,r,win
7H,KC,TH,7D,9D,r,c,loss
6D,TC,8S,TH,AS,c,c,loss
