card1,card2,card3,card4,card5,card6,bet1,bet2,bet3,result
7D,QH,KC,9C,7S,KH,c,c,c,win
9H,AS,TC,QS,7D,AH,c,c,c,win
TC,7C,AD,TS,9H,JC,c,c,c,win
QS,6D,QH,TC,KD,KS,c,c,c,win
KH,6D,TH,9C,KD,8H,c,c,c,loss
6C,AS,KH,JC,QH,7D,c,c,c,loss
8S,9D,QD,JD,JC,8D,c,c,c,win
JD,QH,KH,8D,6C,QS,c,c,c,loss
TC,9S,8C,9H,JC,JH,c,c,c,win
8D,JS,JD,QS,9S,6H,c,c,c,win
QS,7S,AD,7C,8H,JS,c,c,c,loss
6C,TC,8C,QH,7C,JC,c,c,c,win
6H,JH,8D,9D,8S,6S,c,c,c,win
KH,9D,JH,AS,JC,6D,c,c,c,loss
9D,QS,TS,8S,KC,AD,c,c,c,win
8H,9C,JH,JS,8D,JC,c,c,c,loss
8S,8C,KD,AS,7S,TS,c,c,c,loss
JS,7C,KD,KC,JD,7S,c,r,r,loss
AC,QD,7S,TC,AD,AS,c,c,c,win
TS,6C,7H,8S,AS,6D,c,c,c,loss
