card1,card2,card3,card4,card5,bet1,bet2,result
7S,TH,QD,JH,6C,c,c,win
TD,KS,6S,QD,8C,c,c,win
TH,8H,9D,JS,6C,c,c,win
QS,7C,8H,TD,AD,c,c,win
AC,9H,6H,JS,KS,c,c,loss
TD,TS,8C,AS,KC,c,c,win
KS,7C,9S,TH,TC,c,c,win
JH,9H,KS,TS,TH,c,c,win
6C,6H,7D,KC,JH,c,c,loss
JS,QD,AD,JH,KH,c,c,loss
9S,6H,8H,QH,8C,c,c,loss
9S,TD,JH,8S,QC,c,c,win
TS,KH,JD,6D,8C,c,c,win
QD,8C,7S,AD,KH,c,c,loss
JD,JH,9H,7H,QH,c,c,win
KD,AC,KH,QH,7C,c,c,win
7S,8D,9C,JD,TD,c,c,win
6S,KH,8C,6D,8S,c,c,win
JH,7H,AH,TD,7S,c,c,loss
6H,TS,QH,TD,8H,c,c,loss
6H,6C,6S,AC,TS,c,c,win
TC,AS,6D,JS,9D,c,c,win
JH,QH,QD,6S,9C,c,c,win
QD,KD,JS,9H,8C,c,c,win
8S,6H,QD,7C,TD,c,c,loss
7D,AD,JS,7H,8D,c,c,loss
9S,QC,QH,AH,AD,c,c,loss
8S,TS,8D,JH,7D,c,c,win
8C,AH,9D,9C,JS,c,c,win
TD,QD,AC,7D,KS,c,c,loss
7H,JS,8H,KC,8D,c,c,loss
8S,QS,7C,QH,7H,c,c,win
TS,QH,QS,9C,JH,c,c,loss
JH,QH,TS,QD,AH,c,c,win
JH,AS,7C,8D,6H,c,c,loss
TC,QH,JC,AC,9C,c,c,win
6S,7H,7C,8H,AC,c,c,loss
AD,6C,JS,9C,TC,c,c,loss
KD,6D,9D,8D,TC,c,c,win
AS,6C,JS,8H,6H,c,c,win
TH,7D,JD,8S,8H,c,c,loss
JS,6S,KD,9S,8H,c,c,loss
KD,QC,8C,TH,TD,c,r,loss
TH,AC,6C,6D,8H,c,c,win
9H,8S,KD,6C,QC,c,c,loss
TD,8C,8D,AC,JC,c,c,win
6H,TC,6C,TD,KS,c,c,win
AH,6C,QH,6D,JS,c,c,win
KD,KC,9D,JC,8H,c,c,loss
KD,KH,QD,KC,QS,c,c,win
JS,QS,JH,6C,7S,c,c,win
QS,KD,JC,9C,QC,c,c,win
9C,KD,6C,9S,JD,c,c,loss
7C,7D,KD,QD,JH,c,c,loss
KD,JD,9D,7S,QS,c,c,win
AC,AH,6H,TD,JS,c,c,loss
KD,8S,TH,6S,KH,c,c,loss
QD,AD,TD,JD,9H,c,c,loss
AC,QC,6D,QD,AD,c,c,win
JS,9H,TH,AS,KH,c,r,loss
7H,JS,9C,6H,9S,c,c,win
KD,JH,JD,9D,6S,c,c,win
QS,7D,AC,JS,8H,c,c,loss
9H,KH,9D,TH,6D,c,c,win
6H,JD,7D,JC,AD,c,c,win
8C,6S,KD,8S,6D,c,c,loss
6C,QD,QH,7C,KH,c,c,win
9D,8S,QD,7C,AD,c,c,win
QD,QH,6H,AD,TD,c,c,win
9D,8D,TS,9C,JC,c,c,win
JD,6S,KC,QH,JC,c,c,win
9C,7C,9H,TC,8C,c,c,win
8C,AC,8H,JS,6H,c,c,win
KS,6C,7H,TH,AH,c,c,loss
8S,8C,TS,AH,6C,c,r,loss
TS,TC,6H,6C,AC,c,c,win
9S,7H,TS,7C,6D,c,c,win
8H,6C,9D,AC,7C,c,c,loss
7S,AD,8C,8H,JC,c,c,loss
QD,9D,TS,QC,KD,c,c,win
QC,9D,6H,AD,QS,c,c,win
AH,9D,JH,8D,7C,c,c,loss
7S,KS,8C,9S,JS,c,c,win
9S,JS,TH,KC,JC,c,c,loss
AS,7H,QH,JD,KD,c,c,win
7C,KS,QC,KH,9S,c,c,loss
6D,6C,6S,JS,8S,c,c,win
AD,7S,8C,KD,9S,c,c,win
6H,9H,7D,QH,8C,c,c,win
7D,TD,6C,AD,AC,c,r,loss
KC,7H,JH,9S,8S,c,c,win
JD,7C,7H,TH,6S,c,c,loss
AD,KS,QS,6H,TS,c,c,loss
6S,KH,6C,TD,7S,c,c,loss
TD,8H,QS,6C,8S,c,c,win
9D,QS,AD,QC,6C,c,c,win
JC,6C,QS,QH,TS,c,c,loss
7H,8C,JS,9D,QS,c,c,loss
8H,AC,QH,9H,TH,c,c,win
QS,8D,KS,KD,AS,c,c,win
JH,JD,JC,7S,JS,c,c,win
QD,7S,JC,KH,7H,c,c,win
QS,QC,6H,JC,QH,c,c,win
JD,TD,JC,TS,9S,c,c,win
8S,QS,AS,9H,KC,c,c,win
JH,AH,AS,TH,6D,c,c,win
9C,KH,9H,KC,JS,c,c,win
6C,JH,KC,QC,QS,c,c,loss
AH,JD,KH,TH,QH,c,c,win
8H,AD,TH,7S,QC,c,c,loss
9D,9S,8D,AH,6H,c,c,win
TD,AS,TH,JC,KH,c,c,win
TS,AH,8S,QC,7D,c,c,loss
KD,KH,KS,8D,7C,c,c,win
QC,QS,JC,AS,8H,c,c,win
QH,AS,7H,7S,QD,c,c,win
7H,QC,7C,TC,AD,c,c,win
JD,7D,AS,AD,8D,c,c,loss
AD,QS,JS,8S,6D,c,c,loss
7H,7D,8H,TS,6C,c,c,loss
8C,9S,AD,8D,9H,c,c,loss
9H,8H,8D,TC,7D,c,c,loss
9S,KD,AH,7H,7D,c,c,win
8H,7S,7D,QH,7H,c,c,loss
9C,JD,QS,QC,6C,c,c,loss
AS,KC,9S,JD,7D,c,c,loss
QC,QH,9S,JH,KS,c,c,win
6C,TC,9S,AS,7S,c,c,loss
9S,KC,8C,JD,AC,c,c,loss
9C,8D,AS,QH,QD,c,r,loss
9H,8H,7C,KD,AC,c,r,loss
7H,6S,8D,QD,QC,c,c,loss
AH,KC,8H,KH,TC,c,c,loss
AC,TH,9H,KS,JS,c,c,loss
KD,9C,7D,8D,JD,c,c,win
9S,TS,KS,9H,TC,c,c,win
6D,9D,TH,AS,7D,c,c,loss
6H,TS,KD,9C,KH,c,c,loss
KH,JH,KS,QS,TC,c,c,win
JH,AC,9S,AH,8S,c,c,loss
KD,JD,7C,8H,AD,c,c,loss
7S,QC,7D,TD,9C,c,c,loss
8C,TH,AH,KC,9C,c,c,win
TC,7S,KC,JD,6D,c,c,win
AH,AC,TS,AS,6S,c,c,loss
8D,6C,QS,8H,7S,c,c,loss
9C,AD,6D,8H,AH,c,c,loss
9D,KS,8H,AD,7C,c,c,loss
TD,9H,QC,AH,6H,c,c,win
9C,9D,6S,JH,TC,c,c,win
QC,QD,9C,8D,KS,c,c,win
KS,KC,6H,TS,AC,c,c,loss
6C,7S,9C,QH,7H,c,c,loss
QS,7S,9H,JS,JC,c,c,loss
QS,6S,6D,AS,9H,c,c,loss
7D,JD,QD,AD,6S,c,c,loss
TH,TD,7C,6H,9S,c,c,win
TS,AC,KH,QC,8D,c,c,loss
KS,AD,8H,6S,9H,c,c,loss
JC,JS,7C,QH,KS,c,c,loss
6H,KS,6D,QH,8H,c,c,win
JS,6S,KD,JD,8D,c,c,win
