card1,card2,card3,card4,card5,card6,card7,result
AD,8H,QH,TH,6S,QC,AH,win
9C,7D,QH,6H,6C,7S,8D,loss
8C,KS,8S,6D,7H,AH,AD,win
JS,KC,QD,8H,TD,9D,AC,win
JS,7D,QH,JH,QD,8H,KC,win
6H,7H,6C,AH,TS,7C,8C,loss
7D,6C,7C,7S,KS,9S,9C,win
6C,AD,7D,6D,7S,JH,9D,win
8D,7C,AS,QC,9S,QD,6C,loss
8C,AS,6H,JD,KD,8S,AH,win
7S,KH,AC,TD,AH,KS,AD,win
6H,KD,TH,KH,7C,6S,8H,win
9H,9C,8H,7S,QD,6S,6C,win
JS,8C,KH,7D,9C,QC,TS,loss
KS,AC,7C,AS,8S,QD,AH,win
9D,8D,6H,7S,QC,JD,AD,loss
AD,8S,KC,QC,9D,QH,9S,loss
QD,JS,AC,7C,AD,6C,TH,loss
KC,8H,JS,TS,AC,9D,QD,win
AC,KC,QS,TD,6S,JH,JS,win
JD,QD,AH,JH,QH,KH,9D,win
JH,8C,8D,9D,AS,TH,8S,win
8H,7H,TH,QH,8C,9H,6H,win
6H,9S,6D,TH,9C,JD,TS,loss
KS,8C,JD,9H,8S,TS,QH,win
KS,7H,QC,TC,JS,AH,8S,win
6C,TD,TS,TH,6H,7D,9C,win
TH,8H,9S,TC,AC,QD,QH,loss
7S,6S,JD,QH,TC,6H,AS,loss
QD,TH,KS,AC,6H,JC,JD,loss
TC,9D,QD,KS,6H,8D,JD,win
AH,JD,6H,TS,9C,7C,KD,loss
9C,AD,QD,9S,8C,7C,AH,win
JC,7C,AS,QC,TD,KH,6H,win
8H,KH,QS,JD,KD,QD,TC,win
KC,8C,7D,6C,7C,9H,8D,win
7H,7C,QD,KH,JH,JD,6H,win
6C,QH,9S,JH,7C,KS,8C,loss
8S,QD,7D,7C,8C,AS,JC,loss
8S,JD,6C,7D,6S,QC,KC,loss
6H,TS,TH,6S,KH,KC,JH,loss
9S,9C,TH,7S,JS,8S,JH,win
JH,AD,8D,TD,KD,9C,6S,loss
9D,JH,9H,QC,AS,JC,KH,loss
QC,8D,QH,6D,9C,JC,6H,win
TD,KH,7H,9H,KD,TC,8C,loss
QD,JC,6C,6S,9H,KS,8H,loss
TC,6H,QH,KS,TS,8S,KH,loss
8S,8H,TS,QH,AS,8D,6D,win
6S,QS,JH,KH,KC,TC,8D,loss
8H,KS,AD,7H,8S,QS,7D,loss
6H,8S,KH,QH,6S,AS,9H,win
9H,8S,TC,JS,6H,KS,TH,loss
9S,9C,9H,6S,KD,JS,KC,win
8H,7S,QC,6C,7C,KH,JD,loss
JH,JD,6H,7H,6C,8D,KC,win
AD,KD,AH,AC,KC,9D,JC,win
JS,JC,7H,8H,9S,9D,KC,win
JD,JH,TD,8D,QH,6H,TS,loss
8D,QC,JS,9H,7D,TS,KD,win
8C,6S,7H,QH,6C,KS,8S,win
KH,9S,6C,JS,AD,JD,QH,loss
7D,7S,QD,AC,9H,7H,9D,win
7C,9H,9D,7D,7H,8C,TS,win
7S,6C,JH,7C,KS,TH,8H,loss
AH,QH,9C,JC,6D,9D,JS,win
AS,7C,7H,9S,TD,QC,9H,loss
8D,9H,KS,8H,9S,QH,7H,loss
TC,8H,6H,JD,TD,9H,AS,loss
AC,6D,JS,KH,TD,6S,TH,loss
TS,8S,7H,JC,AS,QC,9S,win
8D,7S,JH,AD,6C,9S,8C,loss
9H,8S,7H,AS,JS,TC,JH,loss
JS,KS,7S,QH,TS,JC,6S,win
AH,QS,7C,6S,KH,TC,AS,loss
QC,8D,AD,AS,9H,AC,TS,loss
KH,9D,KS,AC,JS,6S,AH,win
TS,KH,7H,6C,KC,7D,QD,loss
QD,8D,TD,9D,KH,AS,9H,loss
8D,AC,8C,7S,7H,JH,8H,win
JH,JD,9C,8C,6D,AH,TH,win
AH,TH,QS,AD,9H,8S,TS,loss
6S,9H,6C,KC,JC,7D,QH,loss
JC,TD,8D,8C,TS,6S,AH,win
QH,8S,7C,QC,TS,TC,9C,loss
6H,7S,QC,QS,QD,9D,8D,loss
AD,7D,JD,QH,7S,AH,KC,loss
JH,7H,QC,9C,AD,8S,7S,loss
JD,8D,AC,KC,JC,8C,8S,win
AH,KD,TS,KC,JC,AD,JD,loss
AD,8C,JS,6H,8H,6S,KS,loss
AH,9D,8H,6S,KD,9S,JC,loss
TS,QH,JD,KS,AH,7S,QD,win
7D,JC,TH,JS,QD,JH,JD,win
7C,7D,7S,AC,9S,9H,6D,win
9C,TH,KC,AD,8D,QH,7H,loss
AC,JD,6S,JH,AD,QH,9S,win
7S,8D,JS,AH,AD,QS,KC,loss
6C,JS,KC,9C,6H,TD,JC,win
TC,TD,AS,8D,6S,TS,9S,win
AC,6D,7S,TC,KH,7D,9S,loss
7D,JH,7C,KC,JD,TC,JS,win
KH,TD,TS,QC,8C,8H,JC,win
JS,QH,KC,JD,TD,7C,JH,win
TH,8D,JS,7S,6C,9S,AS,loss
TD,QH,JH,9D,JS,JC,9H,win
8H,9D,QC,7C,8D,TD,6H,win
8S,6C,KS,QC,QH,TD,6D,loss
6H,JD,AC,TS,TC,8D,QC,loss
TS,8C,JC,9S,KD,KH,QS,loss
TC,8D,AS,AH,JC,9H,QS,win
JH,KH,JS,AD,9H,AS,TS,loss
JD,QD,AD,QS,QC,9D,KS,win
AS,9D,JH,AH,TS,TD,TH,win
6S,9H,AS,AH,8S,TD,8D,loss
JH,9D,TC,9S,TD,9C,JC,loss
KD,JS,9H,8C,AC,7H,TC,win
8S,QH,TS,KH,JD,QD,JC,loss
8D,6H,JD,7H,QD,TC,7D,loss
JS,KC,6C,AH,6S,6D,9H,loss
JH,AH,7S,KH,TD,9S,JD,win
7H,8D,8C,QH,7C,6H,AD,win
JD,QC,JH,7H,AH,AD,6S,win
6C,QC,7H,8H,QS,TH,JD,win
AC,QC,6D,TS,TC,6S,7D,loss
9C,8C,6D,6C,7D,QH,7C,loss
QS,QD,KD,KS,9D,9S,QC,win
8C,9C,8H,KC,KS,TH,TD,loss
KS,AD,TH,6D,QD,8H,QH,loss
7H,7C,7D,AH,JC,9S,QH,win
KD,7H,9H,KH,TD,AD,8S,win
QS,JS,JH,6D,8S,8H,7S,win
7H,8D,7C,9H,TH,JS,AS,win
AS,TS,8H,TH,7H,QD,7S,loss
7C,KH,7S,8S,QH,6H,TS,loss
TS,8C,KD,TH,QS,6S,6D,win
7D,TC,KC,7C,7H,9D,QD,loss
8D,7H,KS,7S,7D,9C,8C,win
AD,6H,8C,KD,QC,TH,9C,loss
AS,KS,JH,9D,7D,JC,8C,loss
TH,QC,6D,QH,9C,6H,QD,win
6D,QC,JS,8H,AH,KH,AD,loss
6H,6S,7S,TS,TD,7C,KC,loss
8C,QC,QS,9S,9C,JC,QD,win
7C,9S,JS,JD,QS,9D,6C,loss
QS,8H,6D,8S,TC,JD,9H,win
QC,9S,8C,AC,6D,7S,QH,win
TS,TH,JH,KC,7H,JS,QS,loss
AD,KH,JH,AH,TS,TH,8S,win
8H,TD,KS,QC,AS,6S,AC,loss
9D,QD,JC,7D,8S,8C,TC,win
7D,AH,KH,8S,7H,TS,QC,loss
AD,8H,TC,JS,QS,QH,6C,loss
7S,JS,TH,6C,TC,TD,9C,loss
9S,9D,8D,JS,KS,6C,KH,loss
8S,AC,QH,9H,QD,7C,JS,loss
JD,8S,AH,6S,TC,AD,QS,loss
KH,6S,QH,TC,6C,KD,JC,win
6H,7H,6C,AC,7D,TH,KH,loss
9C,6S,8S,JD,JC,9D,KC,win
KD,JD,TC,7S,JH,JS,9S,win
JC,7H,KC,TH,8S,KH,AC,loss
TH,QS,7S,9C,JC,8H,7D,win
KS,6C,9S,6H,8S,JC,8C,loss
6H,6C,TS,9D,9H,KD,JC,loss
AS,KS,6D,6S,7D,8H,QD,loss
AC,TC,JH,QC,8H,8D,TD,loss
QH,TS,KD,8H,TH,8S,AC,win
7H,TS,6C,9D,JS,9C,AC,loss
KD,8H,QH,KH,6D,AD,AH,win
TC,6D,QH,8D,QS,7C,TH,loss
9C,TH,AS,TS,6S,KH,AH,win
KC,JH,QD,AC,8D,7C,6C,loss
QS,QC,KC,7D,KH,6D,8H,loss
6H,AC,6C,TS,8C,7C,KS,loss
QD,QS,AS,8D,9H,JD,KH,win
9H,7C,9C,8C,AH,6H,JH,loss
7D,8C,AC,JC,9S,8D,AD,loss
KD,6D,TC,AD,KS,QS,7H,loss
QS,7C,KH,8H,AC,TD,6C,loss
AC,6D,QS,QC,6H,7H,8S,loss
JD,TD,7H,JH,8H,TS,TC,win
KH,TC,JC,8D,AC,TH,6H,win
9S,7H,JS,TD,6D,JH,9D,loss
QC,AS,9S,JC,TS,QH,9D,loss
TS,QH,QS,KS,KH,AS,TC,win
QD,8C,JC,9H,7C,6H,6C,loss
TC,7C,7H,JH,9H,QD,AS,loss
8D,9C,AD,7C,6C,TH,AH,win
8S,KH,QH,TH,6H,JC,KC,loss
KH,AS,6S,AD,AH,8H,AC,win
AC,8H,KD,7S,QS,KS,8C,win
KS,7H,QH,7S,KC,KH,6C,win
KS,AD,KD,KC,6C,AC,KH,win
7C,6H,AH,JC,TC,8D,8C,loss
7C,KD,8D,KC,8S,KH,7H,win
JS,AH,9S,QS,7D,AD,TD,win
JS,8S,KD,9S,AC,TS,9C,loss
TD,8C,QS,JD,KH,KS,9S,loss
QD,TH,QS,6H,6D,9C,7D,loss
8S,6D,6H,9S,JS,AD,7S,win
QH,9H,9C,AH,8C,7C,9D,win
AC,AS,8H,TD,7C,JD,7S,loss
QC,KC,6C,7D,AC,9D,AD,loss
6C,JS,JC,TD,JH,7D,AS,win
8H,AS,JC,8S,8D,QD,7H,win
6S,KH,TC,KC,6H,7D,TH,win
AC,QD,6S,JS,QH,TS,9C,loss
8H,7H,TC,9S,7D,6D,KH,win
JC,TH,7C,6C,KD,QC,KH,loss
7H,QS,TD,TC,8D,AC,9S,loss
8S,6D,9H,KH,TH,KD,8H,loss
AS,QS,QD,7S,JD,TS,6D,loss
7C,8C,KD,6H,8D,TD,AD,loss
AC,AS,QS,7C,8S,9C,KC,loss
7S,JS,7H,6H,7D,9S,QC,win
6S,TC,8S,9H,JC,AH,7S,win
KS,AS,9C,9H,QH,KD,8S,win
7C,7S,8C,JH,KS,KC,QD,loss
9H,KS,AD,8H,6C,TD,JC,loss
QS,TH,TD,9C,6S,AC,QH,win
AD,AC,QC,TH,TC,6H,TS,loss
TH,QH,AD,AH,JC,9S,JS,loss
JS,JC,6C,KC,TH,9H,8H,win
JC,KS,6D,AD,JD,8H,TH,loss
6S,6H,AS,KD,QD,8H,9H,loss
7C,8C,7S,7H,JH,AH,8D,win
7S,QC,AC,9S,JS,6H,6C,loss
QD,6S,KS,JS,TD,9C,JD,win
6D,8C,TH,6S,AC,9D,8H,win
AD,TH,6C,KC,QC,6D,JS,win
AS,7S,TC,6C,7H,KS,TH,loss
TH,KS,TS,6C,QS,AS,6H,loss
KC,JC,TH,QD,AC,QH,AH,win
8C,9D,8H,7D,QD,KC,JS,loss
AS,AH,AC,9D,7D,7C,6H,win
AD,QD,9H,KC,6H,AC,8C,win
JH,6C,8S,9S,TS,QH,JS,loss
JH,AD,9H,TC,7H,6S,9D,loss
JS,TC,6C,7C,KD,AS,JC,loss
TH,QS,AC,9S,6C,8H,KS,loss
8D,JS,8H,6D,6H,6C,JD,win
9H,9S,TS,7D,8H,TD,8S,loss
JS,TD,9H,KS,KH,7H,QS,win
QC,AS,9S,KS,TH,6S,9H,loss
6S,QS,QC,7S,JD,QH,TC,win
9D,QH,7D,9C,JD,JS,6H,win
7C,JH,9C,QD,QH,8C,QC,loss
TD,QS,AC,TS,KS,9H,6H,win
7S,9C,AH,9D,6H,9H,TD,loss
9H,7H,6H,6D,KD,6S,QS,loss
KC,9D,KD,7S,9C,JC,AH,win
TC,AH,6C,7C,TD,KS,KH,win
8D,KS,7C,9D,7D,8H,JH,loss
KH,QD,JD,9C,KD,7C,9S,win
9S,QC,9C,9D,AS,KH,JD,win
JS,9H,JC,TH,KS,8C,AH,loss
9D,9C,7S,KH,TH,8H,6C,loss
JD,JH,6H,AH,QC,KC,QH,loss
9S,7H,KC,TC,TH,6H,JD,loss
JH,JD,9S,JS,6S,7C,9H,win
9D,7S,JD,KS,AS,8H,7D,loss
6C,7S,KS,6H,9S,QH,7H,win
JD,KS,JH,9C,QD,TC,7D,win
AS,9S,TC,6H,8C,QS,KC,loss
QC,KC,9H,8C,6C,TH,AH,loss
7S,8D,9D,7D,6S,QS,8H,win
8C,TC,QC,JH,KS,6C,8H,loss
6C,JC,AH,6D,TH,9C,KD,loss
KS,6H,7H,KD,KH,JH,9H,win
KD,6C,6H,QS,TC,AD,TD,win
TC,JS,TH,7D,6H,QS,JH,win
7D,6H,9D,KS,7H,8D,TH,win
9D,JD,6C,TC,9H,8H,AH,loss
TD,9C,KH,7H,JC,8H,6H,win
9D,7H,JD,QH,8H,KD,AC,loss
JD,8C,7S,AS,TH,6S,9H,win
QD,KC,KH,JD,JS,AC,KS,win
TH,9C,TD,JH,JC,QH,KD,win
AS,9S,TS,8S,KD,QS,6D,win
KD,QS,6C,TC,7D,8D,8C,loss
AS,QD,9H,8H,6S,QH,9C,loss
KH,JD,QD,7D,TD,TC,KD,win
9C,JS,TC,AC,JC,AH,8C,win
AD,QD,KS,KC,JS,6C,TD,win
6C,QS,9C,6D,QH,9D,JD,loss
TH,QD,QS,QC,9D,TC,AS,win
9D,6S,6H,JD,6D,9S,QC,win
AD,QH,AH,9S,AS,9D,6H,win
AD,JH,KH,9H,7C,6C,AC,loss
JC,JS,9H,6H,6S,AH,AS,win
KC,JS,TC,7D,7C,JH,KH,win
8S,9S,TC,6H,9D,JS,KS,loss
9C,JS,9H,8C,AH,KC,AD,loss
JS,JC,7C,TH,AC,9S,AH,win
QD,6C,TD,QC,8H,KD,TH,win
JH,8D,8H,AC,9H,QS,9C,win
TC,AH,KH,TS,6C,KS,8C,win
JS,AD,6C,9S,AH,JH,7S,win
6S,KH,7H,8H,8D,AC,6C,loss
QC,JD,QH,QS,JS,AH,6H,win
9S,9D,QH,AH,7S,9C,9H,win
KH,QS,QH,JH,JS,8H,6S,win
AS,8D,9C,8H,8C,AC,TH,loss
AC,7D,AD,TH,KH,AH,JD,win
9C,JC,6D,TS,AD,9H,9S,win
6H,KS,8S,JC,KC,TD,9C,loss
7C,9D,9H,JS,TH,JD,QD,loss
TH,TC,6C,7C,6S,KD,TD,win
QH,6S,AC,9S,AS,8H,6D,loss
AD,AH,8H,8C,JC,QC,AC,win
KD,JD,8C,6C,QH,JH,TD,loss
7S,6D,QC,AH,AS,QD,KC,loss
8C,9S,TD,JH,9C,QS,AC,win
QC,AD,AH,JC,9H,6C,JH,loss
9H,AC,7D,8C,QH,9S,KC,loss
AH,9C,7S,7D,KC,QC,TD,loss
TC,AC,9S,QC,6S,QD,9H,loss
JS,TH,7C,8H,QS,9D,9S,win
8H,KH,8D,QH,7H,9S,9D,loss
QD,8D,6S,TD,9C,9D,AC,loss
AS,7C,QH,9S,TD,JD,9D,loss
7C,TS,9H,TH,8S,6S,QS,loss
9H,8S,QS,7D,AS,6C,AC,loss
6D,JS,JC,TD,AH,7D,AD,loss
8C,QC,JS,7D,TD,TC,8S,loss
8D,7D,8H,AH,6S,JS,TC,loss
TD,JC,QS,TH,KH,TC,9D,win
AC,7C,TS,AD,7H,9H,8C,loss
9C,JC,7H,7D,8H,KC,TC,win
8D,QS,QC,TH,TC,JS,7D,win
6C,8C,QS,TH,JC,AD,AH,loss
TD,7H,AC,JC,9H,8S,AD,win
AH,KH,6C,8S,TD,KD,9H,loss
9S,8H,6D,8D,TC,QS,6C,loss
QS,8D,9S,7H,KC,TH,7C,loss
QD,7S,KS,TD,KD,JS,6H,loss
6S,KH,8D,6D,TC,JS,8H,loss
9C,9D,8S,JS,AH,7H,7S,win
AH,QD,9C,7C,6C,JC,6S,loss
TH,JD,KS,AS,AC,6H,6C,loss
7S,AD,9H,AC,6C,QS,7D,win
9S,6S,TS,TD,JD,AS,7C,loss
KS,JH,QS,AH,JD,8C,7D,loss
AD,6C,KH,JH,JD,7D,AH,loss
7D,AC,9S,AD,JC,TC,TD,win
AS,9S,AH,JC,9H,9D,KD,win
TD,6D,QS,6C,6S,QD,AC,win
8C,TH,TS,6H,AC,8D,6S,loss
TS,7H,TD,KD,QC,6D,AS,win
7S,QH,TD,KH,JD,AC,7D,win
AC,6C,9H,AD,8C,KC,KD,win
AD,7S,AC,JD,QS,9H,9S,loss
9D,KD,TH,6D,AS,KC,7S,loss
AH,6C,QS,6H,9H,QD,6D,win
AS,JH,6S,QC,9S,8H,JS,win
7C,QD,8S,9H,AC,AH,QH,win
7C,TS,KH,JH,6C,TD,AS,win
KD,AD,6D,TS,9D,QH,7D,win
8S,7H,AD,JC,AS,6C,9S,loss
TH,8D,KH,QS,6C,KD,JS,loss
AS,JH,JS,QD,AD,7D,7H,loss
7C,JS,9C,KC,6S,AH,AS,loss
JS,TC,QC,QD,AD,KD,7S,win
8S,KD,7C,AC,7H,6D,9D,loss
JH,AC,7S,TC,AD,6H,AH,win
7C,JH,9D,TC,KC,KS,KD,loss
9H,8S,8D,6D,KC,8H,8C,win
KC,AH,KD,6H,9S,KS,TS,loss
TD,AS,JS,QC,7H,7S,8S,loss
TC,KH,TD,7S,JS,9H,8D,win
7H,KC,7D,JH,TD,7S,6H,win
AH,KH,QS,6D,6C,QD,TH,loss
TS,AD,QH,6C,7S,TC,TH,win
AD,7H,QS,JC,9C,QC,8D,loss
QS,8H,7S,TS,TC,9S,JC,win
TC,6D,AS,TD,7C,KH,QD,win
9C,6D,JD,AC,7D,9D,JC,win
TD,AC,TH,9H,KH,7H,QH,win
KD,QD,9C,7S,AS,8H,6C,loss
6H,TH,9H,8S,6S,TC,9S,loss
6H,KS,KH,TC,AH,7D,9D,win
JC,9H,9C,7D,QD,6C,6D,win
TC,7C,JD,6S,7H,9H,KH,win
8C,TD,KS,JH,6H,7H,6C,loss
AS,QC,8C,6D,TS,8H,9D,loss
9S,8S,TS,KC,JC,KS,8C,win
6H,JS,KC,KH,6D,8D,JH,loss
AC,AS,8S,7C,JD,QH,7S,loss
7D,6C,8H,QD,7S,6D,JC,win
6H,6C,KH,6D,8C,6S,AS,win
QH,KS,6D,9D,QD,9C,KD,win
TC,JS,TS,JD,TH,AC,9S,win
6S,9D,9C,6H,QH,9S,KS,win
KS,KD,8H,6D,6C,JS,TD,win
9C,9S,TH,TS,JS,8S,8D,loss
8S,QH,7S,9C,6H,7H,AS,loss
TC,TH,TD,AS,9C,7H,AH,win
7D,KH,6D,9D,8D,TC,QS,win
9H,7C,KC,KH,JS,7S,7D,loss
7D,7H,KC,QS,9H,TS,6C,loss
7C,9S,KD,6S,AH,KC,9H,win
AC,7D,9C,8D,6H,TH,TS,win
KD,8S,AS,7H,6C,AD,8D,win
TH,8H,KH,7C,KC,AD,KS,loss
7S,QH,QC,9H,QS,6H,KC,win
9D,7C,6C,JS,9H,AH,7D,win
8S,9H,JD,TH,6S,9D,9S,win
QD,KD,QC,KC,7D,7H,8C,win
TC,QC,JD,JH,6H,KS,AC,win
6C,8D,8S,KC,7H,AC,KD,win
AC,6H,8H,9C,TS,AS,KH,loss
9D,7S,7C,KC,9H,6S,TD,win
6D,TD,9H,AC,8C,9D,JD,loss
KD,QC,7H,6H,AH,KH,JS,loss
8S,6D,7C,8D,7D,KH,6C,loss
7C,7S,QC,TS,KC,6H,QS,loss
6C,QC,7S,6H,QH,JC,8D,win
TC,7D,JC,KD,7C,QD,9H,win
8C,6S,KS,QD,AC,QS,6D,win
8H,8S,6S,KD,6D,JS,TD,win
9D,KS,JH,8H,7D,KD,6C,loss
9S,8D,8C,AH,KS,9H,KH,loss
KS,KD,JS,JC,AC,AD,KC,win
9C,AS,7D,7S,QH,AH,8C,win
JC,JD,JH,6D,9D,QD,7S,win
9S,7H,JS,9C,6H,QS,QH,win
9H,QS,AH,TH,7D,QD,AS,win
9H,KC,QS,QH,AC,TS,JS,win
QC,JS,QS,7S,JH,9S,6H,win
AC,7C,KS,AH,6C,TC,QH,loss
KC,KS,9H,7D,6H,9D,QD,win
QD,9C,7H,9S,8H,KD,8S,win
8S,9D,AS,AD,7S,9S,7H,loss
9H,9D,7C,8C,8H,QC,6S,win
AD,TD,7D,7C,AC,KC,KS,win
8C,JS,JC,JD,JH,TH,8S,win
TD,8S,AH,6H,9D,JH,8C,loss
7D,KC,9D,QC,8C,7H,KS,win
7H,9H,7C,TS,TD,JD,9D,loss
QS,8D,7S,JH,7C,TS,TC,loss
KH,7D,8C,TD,6S,QC,JD,loss
7H,6D,AS,JS,8D,8S,7D,loss
7C,TH,AS,7S,JH,JS,QH,loss
TD,JS,KH,6D,6C,AH,QD,win
6S,KH,TD,JH,9C,7C,AD,loss
JC,JH,TD,9H,TS,8H,6D,loss
9D,9H,6S,8C,QC,7H,6C,loss
8S,8D,TS,KH,TD,7S,JS,loss
TC,TD,JH,JC,TH,7C,6C,win
JD,9C,QC,9H,QH,8D,QD,win
QC,9S,QH,QS,9C,6D,JD,win
9H,KC,7S,AC,JH,8H,TS,win
AD,JH,JS,TH,JC,7C,JD,win
TH,QS,JS,AH,QC,JC,7H,win
QH,KS,6S,TS,6C,8D,7S,loss
TD,7S,AS,9S,QD,8C,7C,loss
KH,QS,TD,JC,7S,8C,AC,win
7S,8S,7H,AS,QD,TS,TD,win
8S,QH,TD,6H,7H,JH,7S,loss
8H,7C,QD,JD,QC,JH,7H,loss
TD,9S,7H,7S,KH,JD,9C,loss
8D,QC,7C,TD,KH,TS,QS,loss
AH,TD,8H,8S,9C,TC,QD,win
AS,JD,9C,KC,7C,QH,TH,win
TC,9D,8D,7S,KS,AD,6D,win
AS,TS,9D,QS,KH,QC,JC,win
JD,QH,TS,8D,9C,8C,KH,win
QS,9S,AC,9D,TH,8S,TC,win
QC,7H,9S,QD,8H,7C,AD,win
AH,JD,AS,TC,QC,KC,8C,win
6S,AS,7H,JC,QD,TD,TC,loss
TD,7S,JC,TH,9S,9H,AC,win
7S,TS,JH,QS,TH,8C,6D,loss
TS,JH,7H,KC,7S,QS,AS,win
QS,9S,JC,9H,QC,8D,KD,loss
KH,6S,7S,9D,9H,TC,JH,loss
KD,QD,AS,6D,JC,KH,9D,win
QD,JC,8C,QH,7S,QS,JH,win
AC,AS,AD,6D,9C,QD,TC,win
TH,TS,TC,6H,JD,8C,KC,win
6H,TS,JH,8D,9D,7D,KC,loss
TS,TC,7S,6D,AD,7D,AH,win
9C,QD,QH,JD,TH,9S,9H,win
JC,6S,TD,QC,KS,QH,JS,loss
JD,KC,8H,6D,7S,QD,TC,loss
KS,7C,8D,AC,7D,7H,6S,win
QC,QS,AC,9D,JC,7D,8H,win
QD,TH,JC,KH,8C,QH,6H,win
AS,7C,QD,TD,7S,9D,8H,loss
KD,JD,9H,QH,QD,TD,JH,win
8S,6S,QH,AH,6D,JS,KH,loss
JS,8S,KD,JC,7D,QH,QD,loss
TH,JH,AH,7S,TC,JD,9H,loss
JD,JH,AS,8C,QS,AC,JC,win
KS,JH,KH,8D,7H,6H,TH,loss
KH,9C,7D,8H,TH,9S,TD,loss
9C,TH,7H,KH,6H,QH,6D,win
9D,TS,7C,KS,JS,QC,KD,win
7H,QD,AS,KD,8D,QS,KS,win
JC,8C,8D,QS,8S,JS,KH,win
6S,KS,8D,QH,8H,9S,TS,loss
JC,KC,AS,9H,8H,9C,KH,loss
8C,QS,AC,7S,9S,JH,KH,loss
8C,9D,7C,AH,8H,8D,9C,win
8C,7D,JD,9S,JS,6D,TS,loss
9C,KC,KH,6S,AD,JC,7C,loss
TC,TS,8S,9S,QD,JS,QH,win
6D,8D,JS,JC,6H,9S,QD,loss
AC,7S,8C,9H,AD,TS,9C,loss
8D,6S,QH,9S,8C,7H,9D,loss
KD,QH,KC,JC,AH,8C,AD,win
9S,8H,TH,8C,KC,KD,7S,win
6D,9H,QH,9D,JD,QD,JC,loss
6D,QD,7H,8S,KS,QS,AH,win
KS,6D,AC,TD,9C,8D,9D,loss
JC,KC,TD,6C,KH,AS,7C,loss
TC,6C,JC,TD,TS,6H,AH,win
TH,8H,KH,6C,8S,JS,TD,win
AC,8D,TH,AD,6S,QH,KC,loss
QC,7D,TH,KS,AD,AC,7H,loss
KH,JD,KS,JH,KD,9C,AS,win
JH,TD,7S,KS,7H,AS,TC,loss
6C,9C,AD,QS,JD,7C,8S,loss
7C,KC,JD,QD,KD,AH,JC,win
JS,8S,AH,QS,9C,JD,6S,win
QH,6D,AC,AH,7D,7C,8H,win
KD,9D,QH,TC,TH,KC,QS,loss
7H,8H,TC,QD,JS,QC,AS,loss
6S,8H,7C,9C,AH,QC,9H,loss
8C,7S,QC,AC,JD,TD,TC,loss
KS,9D,AH,JH,6S,JS,AC,loss
7C,6H,TH,QD,TS,7S,8S,loss
QS,KH,8S,TC,JC,7H,AH,win
JH,9D,TC,KS,JS,JC,8H,win
JH,6C,6D,QD,6H,7D,9S,loss
KS,QC,9S,9D,6S,KC,KH,win
KC,QD,6D,9H,JD,9D,6H,loss
6C,8H,QD,JH,QS,9S,8D,loss
AS,TD,6C,JS,6D,QH,9D,loss
6S,8S,6C,6D,AH,KH,7D,win
JH,6D,8S,7D,QH,9C,KH,loss
7C,6H,KS,QH,AH,TC,9H,loss
8H,JS,TH,AH,KH,QH,KD,win
AD,JS,7C,7H,QC,JD,6D,win
TD,JH,KD,AC,7D,AD,TS,loss
TS,QD,AH,KD,AS,QH,7S,win
AH,KC,7S,9D,KH,AC,6H,win
TS,KC,KD,7H,6C,JH,8C,win
6H,8D,6S,KC,TH,TS,TC,win
JD,AC,9H,JC,7D,TC,KD,loss
QC,7C,6H,KS,6D,JH,8D,loss
6H,JH,TS,9C,AC,QH,JC,loss
9D,7D,KH,QD,TD,KS,QC,loss
AD,6D,QD,7S,7C,6C,9H,win
6H,AS,9S,QC,6S,KS,6D,win
9C,8C,6C,TS,9H,JH,7S,win
8S,JS,9D,AC,TD,8H,KS,loss
8C,KC,QC,KH,7D,8H,7H,win
9H,QS,6S,AC,JD,TH,QC,loss
TD,7H,JS,9S,9C,AH,KS,loss
6C,JC,6D,7D,QC,AH,8C,win
QS,KC,8S,6D,AH,KD,TH,win
JD,JS,9H,KD,8D,TS,KH,loss
AH,9H,8C,KD,AS,KS,JD,loss
JS,QS,AS,TH,QC,7H,7D,loss
AH,KD,6H,8C,6S,7H,JC,loss
KH,KS,QD,AS,6D,6H,AH,loss
JS,TH,9S,QS,7C,AS,AH,loss
QC,TC,6D,QD,KS,AH,7C,win
AD,KC,8S,QD,AH,JC,TH,win
JS,8H,9C,QD,6S,7D,QC,loss
TC,8S,KS,TS,AS,QS,6C,win
JC,AC,TC,KD,KS,9C,AS,win
9D,KD,JH,JS,AC,AS,8H,win
7S,TH,7C,8C,9H,KH,QH,loss
KS,TC,KC,KH,8H,7C,JS,win
9S,JD,6S,JH,6H,7H,7D,loss
JS,QH,8D,9D,JH,AC,7S,loss
KC,JH,8S,7C,AS,6D,QD,loss
9D,QD,6C,7D,AS,QC,9S,loss
6D,JD,KS,TS,6C,KD,6S,win
8H,KC,8D,6H,8S,7H,9D,win
6S,JS,6H,TH,QS,AD,8S,loss
9S,8H,6H,8D,QC,9C,8S,win
JC,TS,KD,6D,8D,JH,AH,win
TH,QC,QH,KD,AD,KC,7D,loss
QD,9H,8S,AC,7H,KC,TH,loss
KC,JS,7H,KH,QD,JH,TC,loss
KD,KS,6H,AS,AD,9D,KC,win
8D,AH,KD,AS,QH,JC,9S,loss
QD,AS,8H,JC,9H,6H,9C,loss
7H,AH,KS,JD,7S,TS,9C,loss
QD,8C,AD,AS,9C,QC,9H,win
